,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
1,0,-,2,0,0,0,5,caught,2,v Pakistan,Gujranwala,18-Dec-89
2,0,2,2,0,0,0,5,caught,2,v New Zealand,Dunedin,1-Mar-90
3,36,51,39,5,0,92.3,6,caught,1,v New Zealand,Wellington,6-Mar-90
4,19,38,35,1,1,54.28,4,bowled,2,v England,Leeds,18-Jul-90
5,31,31,26,3,0,119.23,6,bowled,2,v England,Nottingham,20-Jul-90
6,36,-,22,3,2,163.63,5,bowled,1,v Sri Lanka,Nagpur,1-Dec-90
7,53,-,41,7,1,129.26,5,bowled,2,v Sri Lanka,Pune,5-Dec-90
8,30,-,29,1,2,103.44,5,caught,1,v Sri Lanka,Margao,8-Dec-90
9,DNB,-,-,-,-,-,-,-,2,v Bangladesh,Chandigarh,25-Dec-90
10,4,-,11,0,0,36.36,5,lbw,2,v Sri Lanka,Cuttack,28-Dec-90
11,53,-,70,2,0,75.71,4,lbw,2,v Sri Lanka,Kolkata,4-Jan-91
12,62,-,73,8,1,84.93,4,caught,2,v South Africa,Kolkata,10-Nov-91
13,4,-,8,0,0,50,4,caught,1,v South Africa,Gwalior,12-Nov-91
14,1,-,3,0,0,33.33,4,caught,1,v South Africa,New Delhi,14-Nov-91
15,36,79,65,3,0,55.38,4,caught,1,v Australia,Perth,8-Dec-91
16,57,111,107,3,0,53.27,4,caught,1,v Australia,Hobart,10-Dec-91
17,21,38,35,3,0,60,4,caught,1,v Australia,Adelaide,15-Dec-91
18,31,64,44,1,0,70.45,5,run out,1,v Australia,Sydney,14-Jan-92
19,4,12,10,0,0,40,4,caught,2,v Australia,Melbourne,18-Jan-92
20,69,116,100,3,0,69,4,caught,2,v Australia,Sydney,20-Jan-92
21,11,19,19,1,0,57.89,4,caught,2,v Australia,Brisbane,1-Mar-92
22,84,122,107,6,0,78.5,4,caught,1,v New Zealand,Dunedin,12-Mar-92
23,39,92,56,7,0,69.64,4,caught,1,v Zimbabwe,Harare,25-Oct-92
24,15,-,27,1,0,55.55,4,bowled,1,v South Africa,Cape Town,7-Dec-92
25,10,-,36,0,0,27.77,4,caught,1,v South Africa,Port Elizabeth,9-Dec-92
26,22,-,24,2,0,91.66,5,caught,2,v South Africa,Centurion,11-Dec-92
27,21,-,44,1,0,47.72,5,caught,1,v South Africa,Johannesburg,13-Dec-92
28,32,-,52,1,0,61.53,5,bowled,1,v South Africa,Bloemfontein,15-Dec-92
29,23,-,39,0,0,58.97,5,caught,2,v South Africa,Durban,17-Dec-92
30,21,-,38,3,0,55.26,3,caught,2,v South Africa,East London,19-Dec-92
31,82*,116,81,6,1,101.23,5,not out,1,v England,Jaipur,18-Jan-93
32,1,9,5,0,0,20,5,lbw,2,v England,Chandigarh,21-Jan-93
