,ChurnProbability,y_train,ChurnPredicted
879,0.3451155923990702,0,0
5790,0.32568792075839065,0,0
6498,0.6147038310387034,1,1
880,0.465857578844099,1,0
2784,0.5675559446390167,1,1
3874,0.4437833312691603,0,0
5387,0.350122885617305,0,0
6623,0.7236506384812843,1,1
4465,0.2623025695208605,0,0
5364,0.4989477046312868,1,0
3022,0.21497632776094805,0,0
1251,0.570206849866076,1,1
3494,0.643384875733696,1,1
266,0.010022264039114381,0,0
2772,-0.08462897223434254,0,0
242,0.010796881385694256,0,0
738,0.5095397457768175,0,1
4066,-0.03102031286476313,0,0
3214,0.35215449042513114,0,0
2408,-0.06178100181544613,0,0
4201,-0.13153197427141686,0,0
389,0.44106408525838,0,0
3683,-0.12233271386816297,0,0
689,0.3357614717199824,0,0
6502,0.07086914538453684,0,0
500,0.15866364970283034,0,0
3296,0.311806172036754,0,0
4334,0.44761961649023474,0,0
340,0.28618215337796926,0,0
3848,0.36459298464788553,0,0
1037,0.4221907957569974,0,0
2104,0.5511698735835957,1,1
5527,0.18814036189010014,0,0
1001,0.587872999205281,1,1
3889,0.06475161653012068,0,0
2548,0.6067857477952737,0,1
6746,0.2788740019020415,1,0
6552,0.6917629549706019,1,1
4352,0.24200456883107602,0,0
1154,0.08063032968789641,0,0
4812,0.29655623066727516,1,0
6033,0.6421107462371309,1,1
3404,0.02911443729844619,0,0
4282,0.26394726477153146,0,0
1723,0.14188545709855893,0,0
4128,0.23691023353946533,1,0
4283,0.6813185211801401,0,1
5453,-0.0916402305632591,0,0
47,0.6532749273848607,1,1
5059,0.5023850195624616,1,1
653,0.16330854094793604,0,0
2409,0.1490507654472281,0,0
3748,0.058292746583125284,0,0
5620,0.26218320825268376,0,0
2206,0.43120649234835395,1,0
2374,0.21497632776094805,0,0
3118,-0.0971371072220372,0,0
1108,-0.14284376277421554,0,0
5558,0.06289968906982646,0,0
5611,0.394503039739129,0,0
459,0.6413692976541548,0,1
4276,0.40908996582051305,1,0
1662,0.5938149634577798,1,1
5476,0.6486407338110339,1,1
1092,-0.17075440277687487,0,0
4004,-0.05639248297531484,0,0
6079,0.34239634638828986,0,0
592,0.01153444430196339,0,0
4914,-0.12834503462181776,0,0
5472,0.2457722631459945,0,0
5758,0.0001466865617218427,0,0
6446,0.16995935877960036,0,0
3130,0.1087214932359348,0,0
853,0.3628258987125576,0,0
6644,0.26144429388708096,0,0
4893,0.36459298464788553,1,0
1979,0.05396486307244494,0,0
4417,0.5434549473234398,1,1
6723,0.004245665004586507,0,0
3896,-0.08340878376197253,0,0
709,0.31165688624481164,0,0
3684,0.36839228225051424,0,0
528,-0.009558832863137162,0,0
4173,0.583924911806615,0,1
6856,-0.08539937692667562,0,0
5367,0.023956348532689624,0,0
1029,0.5134455542225813,1,1
3000,0.6277182250480032,1,1
