"Order_ID","Order_Date","Order_Priority","Ord_id"
3,"13-10-2010","LOW","Ord_1"
293,"01-10-2012","HIGH","Ord_2"
483,"10-07-2011","HIGH","Ord_3"
515,"28-08-2010","NOT SPECIFIED","Ord_4"
613,"17-06-2011","HIGH","Ord_5"
643,"24-03-2011","HIGH","Ord_6"
678,"26-02-2010","LOW","Ord_7"
807,"23-11-2010","MEDIUM","Ord_8"
868,"08-06-2012","NOT SPECIFIED","Ord_9"
933,"04-08-2012","NOT SPECIFIED","Ord_10"
995,"30-05-2011","MEDIUM","Ord_11"
998,"25-11-2009","NOT SPECIFIED","Ord_12"
1154,"14-02-2012","CRITICAL","Ord_13"
1344,"15-04-2012","LOW","Ord_14"
1412,"12-03-2010","NOT SPECIFIED","Ord_15"
1539,"09-03-2011","LOW","Ord_16"
1540,"04-08-2012","HIGH","Ord_17"
1702,"06-05-2011","HIGH","Ord_18"
1761,"23-12-2010","HIGH","Ord_19"
1792,"08-11-2010","LOW","Ord_20"
2275,"21-10-2012","NOT SPECIFIED","Ord_21"
2277,"01-01-2011","NOT SPECIFIED","Ord_22"
2532,"10-10-2011","HIGH","Ord_23"
2631,"23-09-2010","LOW","Ord_24"
2757,"19-07-2011","CRITICAL","Ord_25"
2791,"09-10-2009","HIGH","Ord_26"
2976,"09-12-2010","NOT SPECIFIED","Ord_27"
3232,"08-10-2012","CRITICAL","Ord_28"
3524,"02-05-2012","HIGH","Ord_29"
3908,"08-03-2010","MEDIUM","Ord_30"
4132,"28-05-2011","NOT SPECIFIED","Ord_31"
4612,"19-09-2010","MEDIUM","Ord_32"
4676,"31-08-2011","HIGH","Ord_33"
5284,"08-07-2011","NOT SPECIFIED","Ord_34"
5316,"30-01-2009","CRITICAL","Ord_35"
5409,"08-01-2012","LOW","Ord_36"
5506,"07-11-2010","CRITICAL","Ord_37"
5569,"29-04-2010","NOT SPECIFIED","Ord_38"
5607,"31-12-2011","NOT SPECIFIED","Ord_39"
5894,"12-08-2009","HIGH","Ord_40"
5925,"12-11-2011","LOW","Ord_41"
6016,"20-01-2012","HIGH","Ord_42"
6116,"20-03-2009","MEDIUM","Ord_43"
6182,"21-07-2012","LOW","Ord_44"
6535,"12-06-2012","CRITICAL","Ord_45"
6884,"15-01-2009","LOW","Ord_46"
6916,"04-06-2010","LOW","Ord_47"
6980,"18-02-2010","NOT SPECIFIED","Ord_48"
6982,"16-11-2011","NOT SPECIFIED","Ord_49"
7110,"07-08-2011","LOW","Ord_50"
7430,"08-06-2010","MEDIUM","Ord_51"
7906,"17-10-2009","MEDIUM","Ord_52"
8391,"28-08-2011","HIGH","Ord_53"
8419,"29-09-2011","CRITICAL","Ord_54"
8833,"04-05-2012","LOW","Ord_55"
8995,"17-05-2011","HIGH","Ord_56"
9126,"17-11-2009","MEDIUM","Ord_57"
9127,"10-10-2011","NOT SPECIFIED","Ord_58"
9509,"07-10-2012","NOT SPECIFIED","Ord_59"
9763,"13-08-2011","MEDIUM","Ord_60"
9927,"16-08-2011","HIGH","Ord_61"
10022,"04-03-2009","LOW","Ord_62"
10437,"18-08-2009","CRITICAL","Ord_63"
10499,"16-11-2010","NOT SPECIFIED","Ord_64"
10535,"27-05-2011","LOW","Ord_65"
10789,"23-08-2010","NOT SPECIFIED","Ord_66"
10791,"19-08-2011","NOT SPECIFIED","Ord_67"
10945,"03-01-2012","MEDIUM","Ord_68"
11137,"29-11-2012","HIGH","Ord_69"
11202,"17-03-2012","MEDIUM","Ord_70"
11456,"12-04-2010","LOW","Ord_71"
11460,"24-08-2010","HIGH","Ord_72"
11495,"04-07-2011","HIGH","Ord_73"
11911,"10-11-2010","CRITICAL","Ord_74"
11941,"24-06-2010","CRITICAL","Ord_75"
12096,"19-09-2012","MEDIUM","Ord_76"
12289,"24-12-2011","LOW","Ord_77"
12352,"23-03-2012","MEDIUM","Ord_78"
12419,"15-10-2011","CRITICAL","Ord_79"
12485,"07-08-2010","CRITICAL","Ord_80"
12544,"03-03-2009","LOW","Ord_81"
12704,"09-02-2010","LOW","Ord_82"
12771,"17-01-2009","CRITICAL","Ord_83"
12929,"30-08-2010","CRITICAL","Ord_84"
13280,"11-09-2009","HIGH","Ord_85"
13313,"16-07-2009","NOT SPECIFIED","Ord_86"
13346,"15-11-2012","LOW","Ord_87"
13702,"10-09-2011","LOW","Ord_88"
13795,"10-04-2011","NOT SPECIFIED","Ord_89"
14116,"09-10-2011","HIGH","Ord_90"
14372,"23-10-2012","CRITICAL","Ord_91"
14726,"08-01-2012","LOW","Ord_92"
14819,"25-01-2010","NOT SPECIFIED","Ord_93"
15106,"27-01-2011","NOT SPECIFIED","Ord_94"
15108,"27-08-2009","HIGH","Ord_95"
15205,"17-03-2011","CRITICAL","Ord_96"
15591,"06-06-2012","CRITICAL","Ord_97"
15907,"11-04-2011","HIGH","Ord_98"
15937,"06-11-2012","LOW","Ord_99"
16039,"16-05-2012","HIGH","Ord_100"
16193,"09-04-2012","NOT SPECIFIED","Ord_101"
16423,"05-08-2012","MEDIUM","Ord_102"
16451,"22-07-2009","NOT SPECIFIED","Ord_103"
16545,"09-05-2010","NOT SPECIFIED","Ord_104"
16547,"18-02-2009","NOT SPECIFIED","Ord_105"
16706,"27-06-2012","HIGH","Ord_106"
16741,"30-09-2010","MEDIUM","Ord_107"
16932,"15-04-2010","CRITICAL","Ord_108"
17283,"14-09-2011","NOT SPECIFIED","Ord_109"
17286,"21-09-2010","HIGH","Ord_110"
17409,"17-08-2010","NOT SPECIFIED","Ord_111"
17764,"16-09-2009","LOW","Ord_112"
18080,"22-06-2009","HIGH","Ord_113"
18113,"28-08-2012","NOT SPECIFIED","Ord_114"
18144,"07-06-2011","CRITICAL","Ord_115"
18308,"09-10-2009","NOT SPECIFIED","Ord_116"
18887,"05-12-2010","NOT SPECIFIED","Ord_117"
19010,"07-06-2009","LOW","Ord_118"
19078,"27-07-2009","CRITICAL","Ord_119"
19138,"05-09-2011","LOW","Ord_120"
19655,"11-01-2009","HIGH","Ord_121"
19686,"15-08-2010","MEDIUM","Ord_122"
20007,"05-08-2009","NOT SPECIFIED","Ord_123"
20071,"17-09-2011","MEDIUM","Ord_124"
20160,"22-10-2011","LOW","Ord_125"
20263,"14-11-2009","MEDIUM","Ord_126"
21285,"03-07-2010","MEDIUM","Ord_127"
21383,"30-01-2009","LOW","Ord_128"
21607,"15-03-2012","NOT SPECIFIED","Ord_129"
21636,"10-08-2009","LOW","Ord_130"
21889,"01-04-2010","LOW","Ord_131"
22151,"31-07-2010","HIGH","Ord_132"
22342,"29-05-2009","LOW","Ord_133"
22469,"11-10-2010","HIGH","Ord_134"
22501,"18-05-2010","HIGH","Ord_135"
22532,"08-02-2011","CRITICAL","Ord_136"
23264,"07-12-2010","CRITICAL","Ord_137"
23488,"06-01-2009","CRITICAL","Ord_138"
23584,"12-03-2012","CRITICAL","Ord_139"
24007,"26-08-2010","LOW","Ord_140"
24038,"20-06-2011","HIGH","Ord_141"
24097,"04-08-2010","HIGH","Ord_142"
24128,"23-11-2010","HIGH","Ord_143"
24294,"02-08-2009","NOT SPECIFIED","Ord_144"
24387,"10-08-2011","CRITICAL","Ord_145"
24515,"06-05-2010","CRITICAL","Ord_146"
24743,"28-06-2012","LOW","Ord_147"
24871,"23-03-2011","MEDIUM","Ord_148"
25318,"19-11-2011","CRITICAL","Ord_149"
25377,"26-11-2012","LOW","Ord_150"
25634,"29-07-2010","NOT SPECIFIED","Ord_151"
25733,"12-05-2012","LOW","Ord_152"
25767,"03-03-2012","HIGH","Ord_153"
26023,"20-08-2010","HIGH","Ord_154"
26051,"27-06-2010","NOT SPECIFIED","Ord_155"
26116,"29-10-2012","CRITICAL","Ord_156"
26182,"16-01-2010","NOT SPECIFIED","Ord_157"
26272,"29-06-2012","LOW","Ord_158"
26370,"08-08-2011","NOT SPECIFIED","Ord_159"
26499,"21-02-2010","MEDIUM","Ord_160"
26531,"20-06-2011","MEDIUM","Ord_161"
26567,"04-09-2009","CRITICAL","Ord_162"
26854,"21-06-2009","NOT SPECIFIED","Ord_163"
27109,"08-02-2012","CRITICAL","Ord_164"
27111,"11-03-2009","HIGH","Ord_165"
27264,"04-06-2011","LOW","Ord_166"
27392,"02-03-2012","LOW","Ord_167"
27553,"12-08-2011","MEDIUM","Ord_168"
27555,"01-09-2009","CRITICAL","Ord_169"
27680,"26-01-2010","CRITICAL","Ord_170"
27778,"02-09-2011","CRITICAL","Ord_171"
27909,"07-02-2012","CRITICAL","Ord_172"
28003,"19-03-2011","CRITICAL","Ord_173"
28035,"08-05-2011","NOT SPECIFIED","Ord_174"
28135,"25-09-2009","CRITICAL","Ord_175"
28165,"09-07-2012","NOT SPECIFIED","Ord_176"
28289,"14-01-2010","HIGH","Ord_177"
28486,"26-08-2009","HIGH","Ord_178"
28675,"08-10-2009","CRITICAL","Ord_179"
28870,"10-11-2011","HIGH","Ord_180"
28871,"15-04-2012","HIGH","Ord_181"
29030,"02-01-2012","MEDIUM","Ord_182"
29095,"08-03-2011","NOT SPECIFIED","Ord_183"
29287,"02-07-2009","HIGH","Ord_184"
29510,"15-04-2011","CRITICAL","Ord_185"
29795,"25-11-2011","HIGH","Ord_186"
29861,"25-04-2012","CRITICAL","Ord_187"
30658,"26-03-2011","MEDIUM","Ord_188"
30947,"14-07-2010","LOW","Ord_189"
31077,"23-10-2010","NOT SPECIFIED","Ord_190"
31111,"24-08-2009","NOT SPECIFIED","Ord_191"
31169,"09-06-2011","LOW","Ord_192"
31270,"23-11-2012","MEDIUM","Ord_193"
31364,"01-05-2009","NOT SPECIFIED","Ord_194"
31393,"11-05-2012","CRITICAL","Ord_195"
31492,"15-10-2010","CRITICAL","Ord_196"
31558,"23-07-2011","LOW","Ord_197"
31618,"11-07-2011","CRITICAL","Ord_198"
31684,"16-09-2012","CRITICAL","Ord_199"
31781,"16-01-2009","MEDIUM","Ord_200"
32193,"20-10-2010","LOW","Ord_201"
