"Order_ID","Ship_Mode","Ship_Date","Ship_id"
3,"REGULAR AIR","20-10-2010","SHP_1"
293,"DELIVERY TRUCK","02-10-2012","SHP_2"
293,"REGULAR AIR","03-10-2012","SHP_3"
483,"REGULAR AIR","12-07-2011","SHP_4"
515,"REGULAR AIR","30-08-2010","SHP_5"
613,"REGULAR AIR","17-06-2011","SHP_6"
613,"REGULAR AIR","18-06-2011","SHP_7"
643,"EXPRESS AIR","25-03-2011","SHP_8"
678,"REGULAR AIR","26-02-2010","SHP_9"
807,"REGULAR AIR","24-11-2010","SHP_10"
868,"REGULAR AIR","09-06-2012","SHP_11"
868,"REGULAR AIR","10-06-2012","SHP_12"
933,"REGULAR AIR","04-08-2012","SHP_13"
995,"REGULAR AIR","31-05-2011","SHP_14"
998,"REGULAR AIR","26-11-2009","SHP_15"
1154,"DELIVERY TRUCK","16-02-2012","SHP_16"
1154,"REGULAR AIR","16-02-2012","SHP_17"
1344,"REGULAR AIR","22-04-2012","SHP_18"
1344,"REGULAR AIR","19-04-2012","SHP_19"
1412,"EXPRESS AIR","14-03-2010","SHP_20"
1412,"REGULAR AIR","14-03-2010","SHP_21"
1539,"REGULAR AIR","11-03-2011","SHP_22"
1539,"REGULAR AIR","14-03-2011","SHP_23"
1540,"REGULAR AIR","06-08-2012","SHP_24"
1702,"REGULAR AIR","07-05-2011","SHP_25"
1761,"DELIVERY TRUCK","25-12-2010","SHP_26"
1792,"REGULAR AIR","13-11-2010","SHP_27"
2275,"REGULAR AIR","22-10-2012","SHP_28"
2277,"REGULAR AIR","02-01-2011","SHP_29"
2277,"REGULAR AIR","03-01-2011","SHP_30"
2532,"REGULAR AIR","11-10-2011","SHP_31"
2631,"REGULAR AIR","25-09-2010","SHP_32"
2757,"DELIVERY TRUCK","19-07-2011","SHP_33"
2791,"REGULAR AIR","09-10-2009","SHP_34"
2791,"DELIVERY TRUCK","11-10-2009","SHP_35"
2791,"REGULAR AIR","10-10-2009","SHP_36"
2976,"DELIVERY TRUCK","11-12-2010","SHP_37"
3232,"REGULAR AIR","10-10-2012","SHP_38"
3524,"REGULAR AIR","03-05-2012","SHP_39"
3908,"REGULAR AIR","08-03-2010","SHP_40"
4132,"REGULAR AIR","30-05-2011","SHP_41"
4612,"REGULAR AIR","21-09-2010","SHP_42"
4676,"REGULAR AIR","01-09-2011","SHP_43"
4676,"REGULAR AIR","02-09-2011","SHP_44"
4676,"EXPRESS AIR","02-09-2011","SHP_45"
5284,"REGULAR AIR","10-07-2011","SHP_46"
5316,"REGULAR AIR","01-02-2009","SHP_47"
5409,"REGULAR AIR","13-01-2012","SHP_48"
5506,"REGULAR AIR","08-11-2010","SHP_49"
5569,"REGULAR AIR","01-05-2010","SHP_50"
5607,"REGULAR AIR","03-01-2012","SHP_51"
5894,"REGULAR AIR","13-08-2009","SHP_52"
5894,"REGULAR AIR","15-08-2009","SHP_53"
5925,"REGULAR AIR","19-11-2011","SHP_54"
6016,"REGULAR AIR","20-01-2012","SHP_55"
6116,"REGULAR AIR","22-03-2009","SHP_56"
6182,"REGULAR AIR","28-07-2012","SHP_57"
6182,"EXPRESS AIR","25-07-2012","SHP_58"
6535,"EXPRESS AIR","15-06-2012","SHP_59"
6884,"REGULAR AIR","20-01-2009","SHP_60"
6916,"EXPRESS AIR","08-06-2010","SHP_61"
6980,"REGULAR AIR","19-02-2010","SHP_62"
6982,"EXPRESS AIR","18-11-2011","SHP_63"
6982,"DELIVERY TRUCK","18-11-2011","SHP_64"
6982,"REGULAR AIR","18-11-2011","SHP_65"
7110,"REGULAR AIR","11-08-2011","SHP_66"
7430,"REGULAR AIR","09-06-2010","SHP_67"
7906,"REGULAR AIR","17-10-2009","SHP_68"
8391,"DELIVERY TRUCK","29-08-2011","SHP_69"
8419,"EXPRESS AIR","01-10-2011","SHP_70"
8419,"REGULAR AIR","30-09-2011","SHP_71"
8833,"REGULAR AIR","08-05-2012","SHP_72"
8995,"EXPRESS AIR","18-05-2011","SHP_73"
8995,"REGULAR AIR","18-05-2011","SHP_74"
8995,"REGULAR AIR","19-05-2011","SHP_75"
9126,"REGULAR AIR","18-11-2009","SHP_76"
9127,"EXPRESS AIR","12-10-2011","SHP_77"
9509,"DELIVERY TRUCK","08-10-2012","SHP_78"
9509,"EXPRESS AIR","08-10-2012","SHP_79"
9509,"REGULAR AIR","07-10-2012","SHP_80"
9763,"REGULAR AIR","16-08-2011","SHP_81"
9927,"DELIVERY TRUCK","17-08-2011","SHP_82"
9927,"REGULAR AIR","17-08-2011","SHP_83"
9927,"EXPRESS AIR","17-08-2011","SHP_84"
10022,"REGULAR AIR","04-03-2009","SHP_85"
10437,"REGULAR AIR","20-08-2009","SHP_86"
10499,"DELIVERY TRUCK","17-11-2010","SHP_87"
10535,"REGULAR AIR","29-05-2011","SHP_88"
10535,"REGULAR AIR","03-06-2011","SHP_89"
10789,"EXPRESS AIR","24-08-2010","SHP_90"
10791,"REGULAR AIR","21-08-2011","SHP_91"
10945,"REGULAR AIR","05-01-2012","SHP_92"
11137,"REGULAR AIR","30-11-2012","SHP_93"
11202,"REGULAR AIR","18-03-2012","SHP_94"
11456,"REGULAR AIR","19-04-2010","SHP_95"
11460,"REGULAR AIR","26-08-2010","SHP_96"
11495,"DELIVERY TRUCK","05-07-2011","SHP_97"
11911,"REGULAR AIR","12-11-2010","SHP_98"
11941,"REGULAR AIR","25-06-2010","SHP_99"
11941,"DELIVERY TRUCK","25-06-2010","SHP_100"
12096,"REGULAR AIR","19-09-2012","SHP_101"
12096,"REGULAR AIR","21-09-2012","SHP_102"
12289,"REGULAR AIR","28-12-2011","SHP_103"
12352,"REGULAR AIR","24-03-2012","SHP_104"
12419,"REGULAR AIR","17-10-2011","SHP_105"
12485,"DELIVERY TRUCK","08-08-2010","SHP_106"
12544,"REGULAR AIR","10-03-2009","SHP_107"
12704,"REGULAR AIR","09-02-2010","SHP_108"
12704,"DELIVERY TRUCK","11-02-2010","SHP_109"
12771,"REGULAR AIR","17-01-2009","SHP_110"
12771,"REGULAR AIR","19-01-2009","SHP_111"
12929,"DELIVERY TRUCK","31-08-2010","SHP_112"
12929,"REGULAR AIR","31-08-2010","SHP_113"
13280,"REGULAR AIR","12-09-2009","SHP_114"
13313,"REGULAR AIR","17-07-2009","SHP_115"
13346,"REGULAR AIR","20-11-2012","SHP_116"
13702,"REGULAR AIR","14-09-2011","SHP_117"
13795,"REGULAR AIR","13-04-2011","SHP_118"
13795,"EXPRESS AIR","13-04-2011","SHP_119"
13795,"REGULAR AIR","11-04-2011","SHP_120"
14116,"REGULAR AIR","11-10-2011","SHP_121"
14116,"REGULAR AIR","10-10-2011","SHP_122"
14372,"DELIVERY TRUCK","25-10-2012","SHP_123"
14726,"REGULAR AIR","08-01-2012","SHP_124"
14819,"REGULAR AIR","27-01-2010","SHP_125"
14819,"DELIVERY TRUCK","26-01-2010","SHP_126"
15106,"REGULAR AIR","29-01-2011","SHP_127"
15106,"DELIVERY TRUCK","27-01-2011","SHP_128"
15108,"REGULAR AIR","29-08-2009","SHP_129"
15205,"DELIVERY TRUCK","19-03-2011","SHP_130"
15205,"REGULAR AIR","18-03-2011","SHP_131"
15591,"REGULAR AIR","08-06-2012","SHP_132"
15907,"DELIVERY TRUCK","13-04-2011","SHP_133"
15907,"EXPRESS AIR","14-04-2011","SHP_134"
15907,"REGULAR AIR","12-04-2011","SHP_135"
15937,"REGULAR AIR","10-11-2012","SHP_136"
15937,"EXPRESS AIR","15-11-2012","SHP_137"
16039,"REGULAR AIR","17-05-2012","SHP_138"
16193,"REGULAR AIR","11-04-2012","SHP_139"
16423,"REGULAR AIR","07-08-2012","SHP_140"
16451,"REGULAR AIR","23-07-2009","SHP_141"
16545,"REGULAR AIR","11-05-2010","SHP_142"
16547,"DELIVERY TRUCK","20-02-2009","SHP_143"
16547,"DELIVERY TRUCK","18-02-2009","SHP_144"
16706,"REGULAR AIR","28-06-2012","SHP_145"
16706,"EXPRESS AIR","29-06-2012","SHP_146"
16741,"REGULAR AIR","01-10-2010","SHP_147"
16932,"REGULAR AIR","16-04-2010","SHP_148"
16932,"REGULAR AIR","15-04-2010","SHP_149"
17283,"DELIVERY TRUCK","15-09-2011","SHP_150"
17286,"DELIVERY TRUCK","22-09-2010","SHP_151"
17409,"REGULAR AIR","19-08-2010","SHP_152"
17764,"REGULAR AIR","16-09-2009","SHP_153"
18080,"DELIVERY TRUCK","23-06-2009","SHP_154"
18113,"DELIVERY TRUCK","30-08-2012","SHP_155"
18144,"REGULAR AIR","09-06-2011","SHP_156"
18308,"REGULAR AIR","11-10-2009","SHP_157"
18308,"REGULAR AIR","09-10-2009","SHP_158"
18308,"REGULAR AIR","10-10-2009","SHP_159"
18887,"REGULAR AIR","07-12-2010","SHP_160"
19010,"REGULAR AIR","09-06-2009","SHP_161"
19078,"REGULAR AIR","28-07-2009","SHP_162"
19138,"EXPRESS AIR","10-09-2011","SHP_163"
19655,"REGULAR AIR","12-01-2009","SHP_164"
19686,"REGULAR AIR","15-08-2010","SHP_165"
19686,"REGULAR AIR","17-08-2010","SHP_166"
20007,"REGULAR AIR","06-08-2009","SHP_167"
20071,"DELIVERY TRUCK","19-09-2011","SHP_168"
20160,"EXPRESS AIR","24-10-2011","SHP_169"
20263,"REGULAR AIR","15-11-2009","SHP_170"
20263,"REGULAR AIR","16-11-2009","SHP_171"
21285,"REGULAR AIR","04-07-2010","SHP_172"
21285,"REGULAR AIR","05-07-2010","SHP_173"
21383,"REGULAR AIR","04-02-2009","SHP_174"
21607,"REGULAR AIR","17-03-2012","SHP_175"
21636,"REGULAR AIR","10-08-2009","SHP_176"
21889,"REGULAR AIR","08-04-2010","SHP_177"
21889,"REGULAR AIR","03-04-2010","SHP_178"
22151,"REGULAR AIR","31-07-2010","SHP_179"
22342,"REGULAR AIR","05-06-2009","SHP_180"
22469,"REGULAR AIR","13-10-2010","SHP_181"
22501,"EXPRESS AIR","19-05-2010","SHP_182"
22532,"REGULAR AIR","08-02-2011","SHP_183"
23264,"REGULAR AIR","09-12-2010","SHP_184"
23488,"DELIVERY TRUCK","07-01-2009","SHP_185"
23584,"DELIVERY TRUCK","14-03-2012","SHP_186"
24007,"REGULAR AIR","02-09-2010","SHP_187"
24007,"REGULAR AIR","30-08-2010","SHP_188"
24038,"REGULAR AIR","22-06-2011","SHP_189"
24097,"REGULAR AIR","04-08-2010","SHP_190"
24097,"REGULAR AIR","06-08-2010","SHP_191"
24128,"REGULAR AIR","25-11-2010","SHP_192"
24294,"DELIVERY TRUCK","03-08-2009","SHP_193"
24387,"REGULAR AIR","11-08-2011","SHP_194"
24387,"DELIVERY TRUCK","10-08-2011","SHP_195"
24515,"DELIVERY TRUCK","08-05-2010","SHP_196"
24743,"DELIVERY TRUCK","05-07-2012","SHP_197"
24743,"REGULAR AIR","03-07-2012","SHP_198"
24871,"REGULAR AIR","24-03-2011","SHP_199"
25318,"EXPRESS AIR","21-11-2011","SHP_200"
25377,"DELIVERY TRUCK","03-12-2012","SHP_201"
25634,"REGULAR AIR","01-08-2010","SHP_202"
25634,"EXPRESS AIR","30-07-2010","SHP_203"
25733,"REGULAR AIR","17-05-2012","SHP_204"
25767,"REGULAR AIR","03-03-2012","SHP_205"
25767,"REGULAR AIR","04-03-2012","SHP_206"
26023,"REGULAR AIR","21-08-2010","SHP_207"
26051,"DELIVERY TRUCK","29-06-2010","SHP_208"
26051,"REGULAR AIR","28-06-2010","SHP_209"
26116,"REGULAR AIR","30-10-2012","SHP_210"
26182,"DELIVERY TRUCK","19-01-2010","SHP_211"
26272,"EXPRESS AIR","08-07-2012","SHP_212"
26370,"REGULAR AIR","10-08-2011","SHP_213"
