coachID,award,year,lgID,note
patrile01c,First Team All-Star,1930,NHL,
irvindi01c,Second Team All-Star,1930,NHL,
patrile01c,First Team All-Star,1931,NHL,
irvindi01c,Second Team All-Star,1931,NHL,
patrile01c,First Team All-Star,1932,NHL,
irvindi01c,Second Team All-Star,1932,NHL,
patrile01c,First Team All-Star,1933,NHL,
irvindi01c,Second Team All-Star,1933,NHL,
patrile01c,First Team All-Star,1934,NHL,
irvindi01c,Second Team All-Star,1934,NHL,
patrile01c,First Team All-Star,1935,NHL,
gormato01c,Second Team All-Star,1935,NHL,
adamsja01c,First Team All-Star,1936,NHL,
hartce01c,Second Team All-Star,1936,NHL,
patrile01c,First Team All-Star,1937,NHL,
rossar01c,Second Team All-Star,1937,NHL,
rossar01c,First Team All-Star,1938,NHL,
duttore01c,Second Team All-Star,1938,NHL,
thomppa01c,First Team All-Star,1939,NHL,
bouchfr01c,Second Team All-Star,1939,NHL,
weilaco01c,First Team All-Star,1940,NHL,
irvindi01c,Second Team All-Star,1940,NHL,
bouchfr01c,First Team All-Star,1941,NHL,
thomppa01c,Second Team All-Star,1941,NHL,
adamsja01c,First Team All-Star,1942,NHL,
rossar01c,Second Team All-Star,1942,NHL,
irvindi01c,First Team All-Star,1943,NHL,
dayha01c,Second Team All-Star,1943,NHL,
irvindi01c,First Team All-Star,1944,NHL,
adamsja01c,Second Team All-Star,1944,NHL,
irvindi01c,First Team All-Star,1945,NHL,
gottsjo01c,Second Team All-Star,1945,NHL,
sherofr01c,Jack Adams,1973,NHL,
pulfobo01c,Jack Adams,1974,NHL,
cherrdo01c,Jack Adams,1975,NHL,
bowmasc01c,Jack Adams,1976,NHL,
krommbo01c,Jack Adams,1977,NHL,
arboual01c,Jack Adams,1978,NHL,
quinnpa01c,Jack Adams,1979,NHL,
berenre01c,Jack Adams,1980,NHL,
wattto01c,Jack Adams,1981,NHL,
tessior01c,Jack Adams,1982,NHL,
murrabr01c,Jack Adams,1983,NHL,
keenami01c,Jack Adams,1984,NHL,
sathegl01c,Jack Adams,1985,NHL,
demerja01c,Jack Adams,1986,NHL,
demerja01c,Jack Adams,1987,NHL,
burnspa01c,Jack Adams,1988,NHL,
murdobo01c,Jack Adams,1989,NHL,
suttebr01c,Jack Adams,1990,NHL,
quinnpa01c,Jack Adams,1991,NHL,
burnspa01c,Jack Adams,1992,NHL,
lemaija01c,Jack Adams,1993,NHL,
crawfma01c,Jack Adams,1994,NHL,
bowmasc01c,Jack Adams,1995,NHL,
nolante01c,Jack Adams,1996,NHL,
burnspa01c,Jack Adams,1997,NHL,
martija02c,Jack Adams,1998,NHL,
quennjo01c,Jack Adams,1999,NHL,
barbebi01c,Jack Adams,2000,NHL,
francbo01c,Jack Adams,2001,NHL,
lemaija01c,Jack Adams,2002,NHL,
tortojo01c,Jack Adams,2003,NHL,
ruffli01c,Jack Adams,2005,NHL,
vigneal01c,Jack Adams,2006,NHL,
boudrbr01c,Jack Adams,2007,NHL,
juliecl01c,Jack Adams,2008,NHL,
tippeda01c,Jack Adams,2009,NHL,
bylsmda01c,Jack Adams,2010,NHL,
hitchke01c,Jack Adams,2011,NHL,
kelleja01c,Baldwin,1972,WHA,
harribi01c,Baldwin,1973,WHA,
huculsa01c,Schmertz,1974,WHA,
krommbo01c,Schmertz,1975,WHA,
dineebi01c,Schmertz,1976,WHA,
dineebi01c,Schmertz,1977,WHA,
brophjo01c,Schmertz,1978,WHA,
