playerID,award,year,lgID,note,pos
malonjo01,Art Ross,1917,NHL,,
cleghod01,Art Ross,1918,NHL,,
malonjo01,Art Ross,1919,NHL,,
lalonne01,Art Ross,1920,NHL,,
broadpu01,Art Ross,1921,NHL,,
dyeba01,Art Ross,1922,NHL,,
dennecy01,Art Ross,1923,NHL,,
nighbfr01,Hart,1923,NHL,,
dyeba01,Art Ross,1924,NHL,,
burchbi01,Hart,1924,NHL,,
nighbfr01,Lady Byng,1924,NHL,,
stewane01,Art Ross,1925,NHL,,
stewane01,Hart,1925,NHL,,
nighbfr01,Lady Byng,1925,NHL,,
cookbi01,Art Ross,1926,NHL,,
gardihe01,Hart,1926,NHL,,
burchbi01,Lady Byng,1926,NHL,,
hainsge01,Vezina,1926,NHL,,
morenho01,Art Ross,1927,NHL,,
morenho01,Hart,1927,NHL,,
bouchfr01,Lady Byng,1927,NHL,,
hainsge01,Vezina,1927,NHL,,
baileac01,Art Ross,1928,NHL,,
wortero01,Hart,1928,NHL,,
bouchfr01,Lady Byng,1928,NHL,,
hainsge01,Vezina,1928,NHL,,
weilaco01,Art Ross,1929,NHL,,
stewane01,Hart,1929,NHL,,
bouchfr01,Lady Byng,1929,NHL,,
thompti01,Vezina,1929,NHL,,
morenho01,Art Ross,1930,NHL,,
clancki01,First Team All-Star,1930,NHL,,D
cookbi01,First Team All-Star,1930,NHL,,RW
gardich01,First Team All-Star,1930,NHL,,G
joliaau01,First Team All-Star,1930,NHL,,LW
morenho01,First Team All-Star,1930,NHL,,C
shoreed01,First Team All-Star,1930,NHL,,D
morenho01,Hart,1930,NHL,,
bouchfr01,Lady Byng,1930,NHL,,
bouchfr01,Second Team All-Star,1930,NHL,,C
clappdi01,Second Team All-Star,1930,NHL,,RW
cookbu01,Second Team All-Star,1930,NHL,,LW
johnsch01,Second Team All-Star,1930,NHL,,D
manthsy01,Second Team All-Star,1930,NHL,,D
thompti01,Second Team All-Star,1930,NHL,,G
wortero01,Vezina,1930,NHL,,
jacksbu01,Art Ross,1931,NHL,,
cookbi01,First Team All-Star,1931,NHL,,RW
gardich01,First Team All-Star,1931,NHL,,G
jacksbu01,First Team All-Star,1931,NHL,,LW
johnsch01,First Team All-Star,1931,NHL,,D
morenho01,First Team All-Star,1931,NHL,,C
shoreed01,First Team All-Star,1931,NHL,,D
morenho01,Hart,1931,NHL,,
primejo01,Lady Byng,1931,NHL,,
clancki01,Second Team All-Star,1931,NHL,,D
conacch01,Second Team All-Star,1931,NHL,,RW
joliaau01,Second Team All-Star,1931,NHL,,LW
manthsy01,Second Team All-Star,1931,NHL,,D
smithho01,Second Team All-Star,1931,NHL,,C
wortero01,Second Team All-Star,1931,NHL,,G
gardich01,Vezina,1931,NHL,,
cookbi01,Art Ross,1932,NHL,,
vossca01,Calder,1932,NHL,,
bouchfr01,First Team All-Star,1932,NHL,,C
cookbi01,First Team All-Star,1932,NHL,,RW
johnsch01,First Team All-Star,1932,NHL,,D
northba01,First Team All-Star,1932,NHL,,LW
roachjo01,First Team All-Star,1932,NHL,,G
shoreed01,First Team All-Star,1932,NHL,,D
shoreed01,Hart,1932,NHL,,
bouchfr01,Lady Byng,1932,NHL,,
clancki01,Second Team All-Star,1932,NHL,,D
conacch01,Second Team All-Star,1932,NHL,,RW
conacli01,Second Team All-Star,1932,NHL,,D
gardich01,Second Team All-Star,1932,NHL,,G
jacksbu01,Second Team All-Star,1932,NHL,,LW
morenho01,Second Team All-Star,1932,NHL,,C
thompti01,Vezina,1932,NHL,,
conacch01,Art Ross,1933,NHL,,
blincru01,Calder,1933,NHL,,
bouchfr01,First Team All-Star,1933,NHL,,C
clancki01,First Team All-Star,1933,NHL,,D
conacch01,First Team All-Star,1933,NHL,,RW
conacli01,First Team All-Star,1933,NHL,,D
gardich01,First Team All-Star,1933,NHL,,G
jacksbu01,First Team All-Star,1933,NHL,,LW
joliaau01,Hart,1933,NHL,,
bouchfr01,Lady Byng,1933,NHL,,
cookbi01,Second Team All-Star,1933,NHL,,RW
johnsch01,Second Team All-Star,1933,NHL,,D
joliaau01,Second Team All-Star,1933,NHL,,LW
primejo01,Second Team All-Star,1933,NHL,,C
shoreed01,Second Team All-Star,1933,NHL,,D
wortero01,Second Team All-Star,1933,NHL,,G
gardich01,Vezina,1933,NHL,,
conacch01,Art Ross,1934,NHL,,
schrisw01,Calder,1934,NHL,,
bouchfr01,First Team All-Star,1934,NHL,,C
chabolo01,First Team All-Star,1934,NHL,,G
conacch01,First Team All-Star,1934,NHL,,RW
jacksbu01,First Team All-Star,1934,NHL,,LW
seibeea01,First Team All-Star,1934,NHL,,D
shoreed01,First Team All-Star,1934,NHL,,D
shoreed01,Hart,1934,NHL,,
bouchfr01,Lady Byng,1934,NHL,,
clappdi01,Second Team All-Star,1934,NHL,,RW
coultar01,Second Team All-Star,1934,NHL,,D
joliaau01,Second Team All-Star,1934,NHL,,LW
thompti01,Second Team All-Star,1934,NHL,,G
weilaco01,Second Team All-Star,1934,NHL,,C
wentwcy01,Second Team All-Star,1934,NHL,,D
chabolo01,Vezina,1934,NHL,,
schrisw01,Art Ross,1935,NHL,,
karakmi01,Calder,1935,NHL,,
conacch01,First Team All-Star,1935,NHL,,RW
schrisw01,First Team All-Star,1935,NHL,,LW
shoreed01,First Team All-Star,1935,NHL,,D
siebeba01,First Team All-Star,1935,NHL,,D
smithho01,First Team All-Star,1935,NHL,,C
thompti01,First Team All-Star,1935,NHL,,G
shoreed01,Hart,1935,NHL,,
romnedo01,Lady Byng,1935,NHL,,
cudewi01,Second Team All-Star,1935,NHL,,G
dilloce01,Second Team All-Star,1935,NHL,,RW
goodfeb01,Second Team All-Star,1935,NHL,,D
seibeea01,Second Team All-Star,1935,NHL,,D
thomppa01,Second Team All-Star,1935,NHL,,LW
thomsbi02,Second Team All-Star,1935,NHL,,C
thompti01,Vezina,1935,NHL,,
schrisw01,Art Ross,1936,NHL,,
appssy01,Calder,1936,NHL,,
auriela01,First Team All-Star,1936,NHL,,RW
barryma01,First Team All-Star,1936,NHL,,C
goodfeb01,First Team All-Star,1936,NHL,,D
jacksbu01,First Team All-Star,1936,NHL,,LW
siebeba01,First Team All-Star,1936,NHL,,D
smithno01,First Team All-Star,1936,NHL,,G
siebeba01,Hart,1936,NHL,,
barryma01,Lady Byng,1936,NHL,,
chapmar01,Second Team All-Star,1936,NHL,,C
conacli01,Second Team All-Star,1936,NHL,,D
cudewi01,Second Team All-Star,1936,NHL,,G
dilloce01,Second Team All-Star,1936,NHL,,RW
schrisw01,Second Team All-Star,1936,NHL,,LW
seibeea01,Second Team All-Star,1936,NHL,,D
smithno01,Vezina,1936,NHL,,
drillgo01,Art Ross,1937,NHL,,
dahlscu01,Calder,1937,NHL,,
cowlebi01,First Team All-Star,1937,NHL,,C
dilloce01,First Team All-Star,1937,NHL,tie,RW
drillgo01,First Team All-Star,1937,NHL,tie,RW
shoreed01,First Team All-Star,1937,NHL,,D
siebeba01,First Team All-Star,1937,NHL,,D
thomppa01,First Team All-Star,1937,NHL,,LW
thompti01,First Team All-Star,1937,NHL,,G
shoreed01,Hart,1937,NHL,,
drillgo01,Lady Byng,1937,NHL,,
appssy01,Second Team All-Star,1937,NHL,,C
blaketo01,Second Team All-Star,1937,NHL,,LW
coultar01,Second Team All-Star,1937,NHL,,D
kerrda01,Second Team All-Star,1937,NHL,,G
seibeea01,Second Team All-Star,1937,NHL,,D
thompti01,Vezina,1937,NHL,,
blaketo01,Art Ross,1938,NHL,,
brimsfr01,Calder,1938,NHL,,
appssy01,First Team All-Star,1938,NHL,,C
blaketo01,First Team All-Star,1938,NHL,,LW
brimsfr01,First Team All-Star,1938,NHL,,G
clappdi01,First Team All-Star,1938,NHL,,D
drillgo01,First Team All-Star,1938,NHL,,RW
shoreed01,First Team All-Star,1938,NHL,,D
blaketo01,Hart,1938,NHL,,
smithcl01,Lady Byng,1938,NHL,,
bauerbo01,Second Team All-Star,1938,NHL,,RW
colvine01,Second Team All-Star,1938,NHL,,C
coultar01,Second Team All-Star,1938,NHL,,D
gottsjo01,Second Team All-Star,1938,NHL,,LW
robinea01,Second Team All-Star,1938,NHL,,G
seibeea01,Second Team All-Star,1938,NHL,,D
brimsfr01,Vezina,1938,NHL,,
schmimi01,Art Ross,1939,NHL,,
macdoki01,Calder,1939,NHL,,
blaketo01,First Team All-Star,1939,NHL,,LW
clappdi01,First Team All-Star,1939,NHL,,D
goodfeb01,First Team All-Star,1939,NHL,,D
hextabr01,First Team All-Star,1939,NHL,,RW
kerrda01,First Team All-Star,1939,NHL,,G
schmimi01,First Team All-Star,1939,NHL,,C
goodfeb01,Hart,1939,NHL,,
bauerbo01,Lady Byng,1939,NHL,,
bauerbo01,Second Team All-Star,1939,NHL,,RW
brimsfr01,Second Team All-Star,1939,NHL,,G
colvine01,Second Team All-Star,1939,NHL,,C
coultar01,Second Team All-Star,1939,NHL,,D
dumarwo01,Second Team All-Star,1939,NHL,,LW
seibeea01,Second Team All-Star,1939,NHL,,D
kerrda01,Vezina,1939,NHL,,
cowlebi01,Art Ross,1940,NHL,,
quiltjo01,Calder,1940,NHL,,
brodatu01,First Team All-Star,1940,NHL,,G
clappdi01,First Team All-Star,1940,NHL,,D
cowlebi01,First Team All-Star,1940,NHL,,C
hextabr01,First Team All-Star,1940,NHL,,RW
schrisw01,First Team All-Star,1940,NHL,,LW
stanowa01,First Team All-Star,1940,NHL,,D
cowlebi01,Hart,1940,NHL,,
bauerbo01,Lady Byng,1940,NHL,,
appssy01,Second Team All-Star,1940,NHL,,C
bauerbo01,Second Team All-Star,1940,NHL,,RW
brimsfr01,Second Team All-Star,1940,NHL,,G
dumarwo01,Second Team All-Star,1940,NHL,,LW
helleot01,Second Team All-Star,1940,NHL,,D
seibeea01,Second Team All-Star,1940,NHL,,D
brodatu01,Vezina,1940,NHL,,
hextabr01,Art Ross,1941,NHL,,
warwigr01,Calder,1941,NHL,,
anderto01,First Team All-Star,1941,NHL,,D
appssy01,First Team All-Star,1941,NHL,,C
brimsfr01,First Team All-Star,1941,NHL,,G
hextabr01,First Team All-Star,1941,NHL,,RW
patrily01,First Team All-Star,1941,NHL,,LW
seibeea01,First Team All-Star,1941,NHL,,D
anderto01,Hart,1941,NHL,,
appssy01,Lady Byng,1941,NHL,,
abelsi01,Second Team All-Star,1941,NHL,,LW
brodatu01,Second Team All-Star,1941,NHL,,G
drillgo01,Second Team All-Star,1941,NHL,,RW
eganpa01,Second Team All-Star,1941,NHL,,D
mcdonbu01,Second Team All-Star,1941,NHL,,D
watsoph01,Second Team All-Star,1941,NHL,,C
brimsfr01,Vezina,1941,NHL,,
bentldo01,Art Ross,1942,NHL,,
stewaga01,Calder,1942,NHL,,
bentldo01,First Team All-Star,1942,NHL,,LW
carrlo01,First Team All-Star,1942,NHL,,RW
cowlebi01,First Team All-Star,1942,NHL,,C
mowerjo01,First Team All-Star,1942,NHL,,G
seibeea01,First Team All-Star,1942,NHL,,D
stewaja01,First Team All-Star,1942,NHL,,D
cowlebi01,Hart,1942,NHL,,
bentlma01,Lady Byng,1942,NHL,,
appssy01,Second Team All-Star,1942,NHL,,C
brimsfr01,Second Team All-Star,1942,NHL,,G
crawfja01,Second Team All-Star,1942,NHL,,D
