coachID,year,tmID,lgID,stint,notes,g,w,l,t,postg,postw,postl,postt
abelsi01c,1952,CHI,NHL,1,,70,27,28,15,7,3,4,0
abelsi01c,1953,CHI,NHL,1,,70,12,51,7,,,,
abelsi01c,1957,DET,NHL,2,,33,16,12,5,4,0,4,0
abelsi01c,1958,DET,NHL,1,,70,25,37,8,,,,
abelsi01c,1959,DET,NHL,1,,70,26,29,15,6,2,4,0
abelsi01c,1960,DET,NHL,1,,70,25,29,16,11,6,5,0
abelsi01c,1961,DET,NHL,1,,70,23,33,14,,,,
abelsi01c,1962,DET,NHL,1,,70,32,25,13,11,5,6,0
abelsi01c,1963,DET,NHL,1,,70,30,29,11,14,7,7,0
abelsi01c,1964,DET,NHL,1,,70,40,23,7,7,3,4,0
abelsi01c,1965,DET,NHL,1,,70,31,27,12,12,6,6,0
abelsi01c,1966,DET,NHL,1,,70,27,39,4,,,,
abelsi01c,1967,DET,NHL,1,,74,27,35,12,,,,
abelsi01c,1969,DET,NHL,2,,74,38,21,15,4,0,4,0
abelsi01c,1971,STL,NHL,1,,10,3,6,1,,,,
abelsi01c,1975,KCS,NHL,2,,3,0,3,0,,,,
adamsja01c,1927,DTC,NHL,1,,44,19,19,6,,,,
adamsja01c,1928,DTC,NHL,1,,44,19,16,9,2,0,2,0
adamsja01c,1929,DTC,NHL,1,,44,14,24,6,,,,
adamsja01c,1930,DTF,NHL,1,,44,16,21,7,,,,
adamsja01c,1931,DTF,NHL,1,,48,18,20,10,2,0,1,1
adamsja01c,1932,DET,NHL,1,,48,25,15,8,4,2,2,0
adamsja01c,1933,DET,NHL,1,,48,24,14,10,9,4,5,0
adamsja01c,1934,DET,NHL,1,,48,19,22,7,,,,
adamsja01c,1935,DET,NHL,1,,48,24,16,8,7,6,1,0
adamsja01c,1936,DET,NHL,1,,48,25,14,9,10,6,4,0
adamsja01c,1937,DET,NHL,1,,48,12,25,11,,,,
adamsja01c,1938,DET,NHL,1,,48,18,24,6,6,3,3,0
adamsja01c,1939,DET,NHL,1,,48,16,26,6,5,2,3,0
adamsja01c,1940,DET,NHL,1,,48,21,16,11,9,4,5,0
adamsja01c,1941,DET,NHL,1,,48,19,25,4,12,7,5,0
adamsja01c,1942,DET,NHL,1,,50,25,14,11,10,8,2,0
adamsja01c,1943,DET,NHL,1,,50,26,18,6,5,1,4,0
adamsja01c,1944,DET,NHL,1,,50,31,14,5,14,7,7,0
adamsja01c,1945,DET,NHL,1,,50,20,20,10,5,1,4,0
adamsja01c,1946,DET,NHL,1,,60,22,27,11,5,1,4,0
agnewga01c,2006,CBS,NHL,2,interim,5,0,4,1,,,,
allenke01c,1967,PHI,NHL,1,,74,31,32,11,7,3,4,0
allenke01c,1968,PHI,NHL,1,,76,20,35,21,4,0,4,0
allisda01c,1995,OTT,NHL,2,,25,2,22,1,,,,
anderji01c,1974,WAS,NHL,1,,54,4,45,5,,,,
anderjo01c,2008,ATL,NHL,1,,82,35,41,6,,,,
anderjo01c,2009,ATL,NHL,1,,82,35,34,13,,,,
angotlo01c,1973,STL,NHL,2,,23,4,15,4,,,,
angotlo01c,1974,STL,NHL,1,,9,2,5,2,,,,
angotlo01c,1983,PIT,NHL,1,,80,16,58,6,,,,
arboual01c,1970,STL,NHL,1,,50,21,15,14,,,,
arboual01c,1971,STL,NHL,3,,44,19,19,6,11,4,7,0
arboual01c,1972,STL,NHL,1,,13,2,6,5,,,,
arboual01c,1973,NYI,NHL,1,,78,19,41,18,,,,
arboual01c,1974,NYI,NHL,1,,80,33,25,22,17,9,8,0
