playerID,year,stint,tmID,W,L,SA,GA
aebisda01,2005,1,COL,2,1,10,2
aebisda01,2006,1,MTL,2,2,18,6
andercr01,2005,1,CHI,0,3,7,5
andercr01,2006,1,FLO,1,0,2,0
andercr01,2008,1,FLO,0,4,11,7
andercr01,2009,1,COL,7,4,51,16
andercr01,2010,1,COL,1,0,3,0
andercr01,2010,2,OTT,2,1,12,1
andercr01,2011,1,OTT,6,1,25,7
aubinje01,2005,1,TOR,0,2,5,2
aubinje01,2006,1,TOR,1,1,11,3
aubinje01,2007,1,LAK,1,1,4,2
auldal01,2005,1,VAN,4,3,22,7
auldal01,2006,1,FLO,0,3,8,6
auldal01,2007,2,BOS,2,3,15,5
auldal01,2008,1,OTT,2,4,25,9
auldal01,2009,1,DAL,2,2,15,2
auldal01,2010,1,MTL,0,1,4,1
auldal01,2011,1,OTT,0,1,4,3
bacasja01,2005,1,STL,1,0,4,1
bacasja01,2006,1,STL,1,1,6,2
bachmri01,2011,1,DAL,0,1,3,1
backsni01,2006,1,MIN,3,5,32,15
backsni01,2007,1,MIN,1,6,21,12
backsni01,2008,1,MIN,5,2,21,5
backsni01,2009,1,MIN,2,7,38,14
backsni01,2010,1,MIN,1,4,17,8
backsni01,2011,1,MIN,5,6,32,15
belfoed01,2005,1,TOR,2,4,14,6
belfoed01,2006,1,FLO,1,5,25,9
bernijo01,2009,1,LAK,1,0,6,0
bernijo01,2010,1,LAK,0,2,5,3
bernijo01,2011,1,LAK,0,1,2,2
bironma01,2005,1,BUF,2,3,12,5
bironma01,2006,2,PHI,0,1,3,2
bironma01,2007,1,PHI,2,6,20,13
bironma01,2008,1,PHI,2,3,17,5
bironma01,2009,1,NYI,2,1,8,3
bironma01,2010,1,NYR,2,0,7,2
bironma01,2011,1,NYR,0,2,7,3
bishobe01,2008,1,STL,0,1,4,2
bishobe01,2010,1,STL,1,0,4,2
bishobe01,2011,1,OTT,0,2,6,3
bobrose01,2010,1,PHI,1,4,17,9
bobrose01,2011,1,PHI,1,2,8,4
bouchbr01,2005,1,PHO,1,0,3,0
bouchbr01,2006,1,CHI,0,2,4,4
bouchbr01,2008,1,SJS,1,1,6,2
