year,hofID,name,category
1945,bakerho01h,Hobey Baker,Player
1945,gardich01h,Charlie Gardiner,Player
1945,gerared01h,Eddie Gerard,Player
1945,mcgeefr01h,Frank McGee,Player
1945,morenho01h,Howie Morenz,Player
1945,phillto01h,Tommy Phillips,Player
1945,pulfoha01h,Harvey Pulford,Player
1945,stuarho01h,Hod Stuart,Player
1945,vezinge01h,Georges Vezina,Player
1945,allanmo01h,Montagu Allan,Builder
1945,stanlfr01h,Frederick Stanley,Builder
1947,bowieru01h,Russell Bowie,Player
1947,clappdi01h,Dit Clapper,Player
1947,joliaau01h,Aurel Joliat,Player
1947,nighbfr01h,Frank Nighbor,Player
1947,patrile01h,Lester Patrick,Player
1947,shoreed01h,Eddie Shore,Player
1947,taylocy01h,Cyclone Taylor,Player
1947,caldefr01h,Frank Calder,Builder
1947,hewitwi01h,William Hewitt,Builder
1947,nelsofr01h,Francis Nelson,Builder
1947,northwi01h,William Northey,Builder
1947,roberjo02h,John Robertson,Builder
1947,robincl01h,Claude Robinson,Builder
1947,sutheja01h,James Sutherland,Builder
1949,bainda01h,Dan Bain,Player
1949,rossar01h,Art Ross,Player
1950,davidal01h,Scotty Davidson,Player
1950,drinkgr01h,Graham Drinkwater,Player
1950,grantmi01h,Mike Grant,Player
1950,griffsi01h,Si Griffis,Player
1950,lalonne01h,Newsy Lalonde,Player
1950,malonjo01h,Joe Malone,Player
1950,patrifr01h,Frank Patrick,Builder
1950,richage01h,George Richardson,Player
1950,triheha01h,Harry Trihey,Player
1952,boondi01h,Dickie Boon,Player
1952,cookbi01h,Bill Cook,Player
1952,goheemo01h,Moose Goheen,Player
1952,johnsmo01h,Moose Johnson,Player
1952,mackami01h,Mickey MacKay,Player
1952,stewane01h,Nels Stewart,Player
1958,bouchfr01h,Frank Boucher,Player
1958,clancki01h,King Clancy,Player
1958,cleghsp01h,Sprague Cleghorn,Player
1958,smythco01h,Conn Smythe,Builder
1958,conneal01h,Alec Connell,Player
1958,duttore01h,Red Dutton,Player
1958,foystfr01h,Frank Foyston,Player
1958,fredrfr01h,Frank Fredrickson,Player
1958,gardihe01h,Herb Gardiner,Player
1958,hayge01h,George Hay,Player
1958,irvindi01h,Dick Irvin,Player
1958,johnsch01h,Ching Johnson,Player
1958,keatsdu01h,Duke Keats,Player
1958,lehmahu01h,Hugh Lehman,Player
1958,mcnamge02h,George McNamara,Player
1958,moranpa01h,Paddy Moran,Player
1958,dudlege01h,George Dudley,Builder
1958,norrija02h,James Norris Sr.,Builder
1958,pickaal01h,Allan Pickard,Builder
1958,raymodo01h,Donat Raymond,Builder
1958,turnell01h,Lloyd Turner,Builder
1959,adamsja01h,Jack Adams,Player
1959,dennecy01h,Cy Denneny,Player
1959,thompti01h,Tiny Thompson,Player
1960,bouchge01h,Georges Boucher,Player
1960,manthsy01h,Sylvio Mantha,Player
1960,walkeja01h,Jack Walker,Player
1960,adamsch01h,Charles Adams,Builder
1960,kilpajo01h,John Kilpatrick,Builder
1960,selkefr01h,Frank Selke,Builder
1961,appssy01h,Syl Apps,Player
1961,conacch01h,Charlie Conacher,Player
1961,dayha01h,Hap Day,Player
1961,hainsge01h,George Hainsworth,Player
1961,halljo01h,Joe Hall,Player
1961,lesuepe01h,Percy LeSueur,Player
1961,rankifr01h,Frank Rankin,Player
1961,richama01h,Maurice Richard,Player
1961,schmimi01h,Milt Schmidt,Player
1961,seibeol01h,Oliver Seibert,Player
1961,stuarbr02h,Bruce Stuart,Player
1961,brownge03h,George Brown,Builder
1961,ellioch01h,Chaucer Elliott,Referee/Linesman
1961,ionmi01h,Mickey Ion,Referee/Linesman
1961,loicqpa01h,Paul Loicq,Builder
1961,smeatco01h,Cooper Smeaton,Referee/Linesman
1961,waghofr01h,Fred Waghorne,Builder
1962,broadpu01h,Punch Broadbent,Player
1962,camerha01h,Harry Cameron,Player
1962,crawfru01h,Rusty Crawford,Player
1962,darraja01h,Jack Darragh,Player
1962,gardnji01h,Jim Gardner,Player
1962,gilmobi01h,Billy Gilmour,Player
1962,greensh01h,Shorty Green,Player
1962,hernri01h,Riley Hern,Player
1962,hoopeto01h,Tom Hooper,Player
1962,huttobo01h,Bowse Hutton,Player
1962,hylanha01h,Harry Hyland,Player
1962,lavioja01h,Jack Laviolette,Player
1962,maxwest01h,Steamer Maxwell,Player
1962,mcgimbi01h,Billy McGimsie,Player
1962,noblere01h,Reg Noble,Player
1962,pitredi01h,Didier Pitre,Player
1962,ruttaja01h,Jack Ruttan,Player
1962,schrisw01h,Sweeney Schriner,Player
1962,simpsjo01h,Joe Simpson,Player
1962,smithal03h,Alf Smith,Player
1962,stanlba01h,Barney Stanley,Player
1962,walshma01h,Marty Walsh,Player
1962,watsoha01h,Harry Watson,Player
1962,westwha01h,Harry Westwick,Player
1962,whitcfr01h,Fred Whitcroft,Player
1962,wilsoph01h,Phat Wilson,Player
1962,ahearfr01h,Frank Ahearn,Builder
1962,brownwa02h,Walter Brown,Builder
1962,humefr01h,Fred Hume,Builder
1962,norrija03h,James Norris,Builder
1962,obrieja01h,Ambrose O'Brien,Builder
1962,roddemi01h,Mike Rodden,Referee/Linesman
