playerID,coachID,hofID,firstName,lastName,nameNote,nameGiven,nameNick,height,weight,shootCatch,legendsID,ihdbID,hrefID,firstNHL,lastNHL,firstWHA,lastWHA,pos,birthYear,birthMon,birthDay,birthCountry,birthState,birthCity,deathYear,deathMon,deathDay,deathCountry,deathState,deathCity
aaltoan01,,,Antti,Aalto,,Antti,,73,210,L,14862,5928,aaltoan01,1997,2000,,,C,1975,3,4,Finland,,Lappeenranta,,,,,,
abbeybr01,,,Bruce,Abbey,,Bruce,,73,185,L,,11918,abbeybr01,,,1975,1975,D,1951,8,18,Canada,ON,Toronto,,,,,,
abbotge01,,,George,Abbott,,George Henry,Preacher,67,153,L,18411,14591,abbotge01,1943,1943,,,G,1911,8,3,Canada,ON,Synenham,,,,,,
abbotre01,,,Reg,Abbott,,Reginald Stewart,,71,164,L,11801,11431,abbotre01,1952,1952,,,C,1930,2,4,Canada,MB,Winnipeg,,,,,,
abdelju01,,,Justin,Abdelkader,,,,73,195,L,21661,81002,abdelju01,2007,2011,,,L,1987,2,25,USA,MI,Muskegon,,,,,,
abelcl01,,,Clarence,Abel,,Clarence John,Taffy,73,225,L,11802,18751,abelcl01,1926,1933,,,D,1900,5,28,USA,MI,Sault Ste. Marie,1964,8,1,USA,MI,Sault Ste. Marie
abelge01,,,Gerry,Abel,,Gerald Scott,,74,168,L,11803,10017,abelge01,1966,1966,,,L,1944,12,25,USA,MI,Detroit,,,,,,
abelsi01,abelsi01c,abelsi01h,Sid,Abel,,Sidney Gerald,Boot Nose,71,170,L,P196901,5931,abelsi01,1938,1953,,,C,1918,2,22,Canada,SK,Melville,2000,2,7,USA,MI,Farmington
abgrade01,,,Dennis,Abgrall,,Dennis Harvey,,73,180,R,11805,6708,abgrade01,1975,1975,1976,1977,R,1953,4,24,Canada,SK,Mooseomin,,,,,,
abidra01,,,Ramzi,Abid,,,,74,210,L,16620,29408,abidra01,2002,2006,,,L,1980,3,24,Canada,QC,Montreal,,,,,,
abrahch01,,,Christer,Abrahamsson,,Christer,,72,180,L,,5932,abrahch01,,,1974,1976,G,1947,4,8,Sweden,,Umea,,,,,,
abrahth01,,,Thommy,Abrahamsson,,Thommy Ulf,,74,185,L,11806,5933,abrahth01,1980,1980,1974,1976,D,1947,4,12,Sweden,,Leksand,,,,,,
achtyge01,,,Gene,Achtymichuk,,Eugene Edward,Acky,71,170,L,11807,11142,achtyge01,1951,1958,,,C,1932,9,7,Canada,AB,Lamont,,,,,,
acombdo01,,,Doug,Acomb,,Douglas Raymond,,71,165,L,11808,10475,acombdo01,1969,1969,,,C,1949,5,15,Canada,ON,Toronto,,,,,,
actonke01,,,Keith,Acton,,Keith Edward,Woody,68,170,L,10002,5935,actonke01,1979,1993,,,C,1958,4,15,Canada,ON,Stouffville,,,,,,
adairji01,,,Jim,Adair,,James Albert John,,71,180,L,,8323,adairji01,,,1973,1973,C,1948,9,29,Canada,ON,Brockville,,,,,,
adamdo01,,,Douglas,Adam,,Douglas Patrick,,71,165,L,11809,11560,adamdo01,1949,1949,,,L,1923,9,7,Canada,ON,Toronto,2001,12,24,,,
adamipe01,,,Petr,Adamik,,,,,,,,,adamipe01,,,1978,1978,,,,,,,,,,,,,
adamlu01,,,Luke,Adam,,,,74,203,,,,adamlu01,2010,2011,,,L,1990,6,18,Canada,NL,St. John's,,,,,,
adamru01,,,Russ,Adam,,Russell Norman,,70,185,L,11810,8812,adamru01,1982,1982,,,C,1961,5,5,Canada,ON,Windsor,,,,,,
adamsbi01,,,Bill,Adams,,William,,,,R,,60149,,,,,,R,,,,,,,,,,,,
adamsbr01,,,Bryan,Adams,,Bryan,,72,185,L,19147,22031,adamsbr01,1999,2000,,,L,1977,3,20,Canada,BC,Fort St. James,,,,,,
,,adamsch01h,Charles,Adams,,Charles Francis,,,,,B196001,,,,,,,,1876,10,18,USA,VT,Newport,1947,,,,,
adamscr01,,,Craig,Adams,,,,72,200,R,10045,25067,adamscr01,2000,2011,,,R,1977,4,26,Brunei Darussalam,,Seria,,,,,,
adamsgr01,,,Greg,Adams,,Gregory Charles,Eddie,73,190,L,11811,6236,adamsgr01,1980,1989,,,L,1960,5,31,Canada,BC,Duncan,,,,,,
adamsgr02,,,Greg,Adams,,Gregory Daren,Gus/Hawk,75,195,L,10003,6237,adamsgr02,1984,2000,,,L,1963,8,15,Canada,BC,Nelson,,,,,,
adamsja01,adamsja01c,adamsja01h,Jack,Adams,,John James,Jolly Jack,69,175,R,P195901,23806,adamsja01,1917,1926,,,C,1895,6,14,Canada,ON,Fort William,1968,5,1,,,
adamsjo01,,,John,Adams,,John Ellis,Jack,70,163,L,11813,5940,adamsjo01,1940,1940,,,L,1920,5,5,Canada,AB,Calgary,,,,,,
adamsjo02,,,John,Adams,,John Matthew,,72,200,L,18412,6859,adamsjo02,1972,1974,,,G,1946,7,27,Canada,ON,Port Arthur,,,,,,
adamske01,,,Kevyn,Adams,,Kevyn W.,,73,200,R,14822,6216,adamske01,1997,2007,,,C,1974,10,8,USA,DC,Washington,,,,,,
adamsst01,,,Stew,Adams,,Stewart Alexander,,70,165,L,11814,18927,adamsst01,1929,1932,,,L,1904,10,16,Canada,AB,Calgary,1978,5,18,Canada,AB,Calgary
,,adamswe01h,Weston,Adams,,Weston W. (Sr.),,,,,B197201,,,,,,,,1904,8,9,USA,MA,Springfield,1973,3,19,,,
adduora01,,,Ray,Adduono,,Raymond Peter,,69,160,L,,8347,adduora01,,,1973,1977,C,1947,1,21,Canada,ON,Fort William,,,,,,
adduori01,,,Rick,Adduono,,Rick Norman,,71,182,L,11815,6474,adduori01,1975,1979,1978,1978,C,1955,1,25,Canada,ON,Fort William,,,,,,
aebisda01,,,David,Aebischer,,,,73,185,L,18227,29051,aebisda01,2000,2007,,,G,1978,2,7,Switzerland,,Fribourg,,,,,,
afanadm01,,,Dmitry,Afanasenkov,,,,74,209,R,16474,36989,afanadm01,2000,2006,,,L,1980,5,12,Russia,,Arkhangelsk,,,,,,
afflebr01,,,Bruce,Affleck,,Bruce Robert,Scratch,72,205,L,11816,5944,afflebr01,1974,1983,,,D,1954,5,5,Canada,BC,Penticton,,,,,,
afinoma01,,,Maxim,Afinogenov,,Maxim Sergeyevich,,72,191,L,14908,33997,afinoma01,1999,2009,,,R,1979,9,4,Russia,,Moscow,,,,,,
,agnewga01c,,Gary,Agnew,,,,,,,,5946,agnewga99c,,,,,,1960,5,24,Canada,ON,Niagara Falls,,,,,,
agnewji01,,,Jim,Agnew,,James,,73,190,L,10004,5947,agnewji01,1986,1992,,,D,1966,3,21,Canada,MB,Deloraine,,,,,,
,,ahearbu01h,Bunny,Ahearne,,John F.,,,,,B197701,,,,,,,,1900,11,19,Ireland,County Wexford,,1985,4,11,,,
