playerID,year,tmID,lgID,pos,GP,G,A,Pts,PIM
adamsbi01,1920,VML,PCHA,R,4,0,0,0,0
adamsja01,1920,VML,PCHA,C,5,2,1,3,6
adamsja01,1921,VML,PCHA,C,5,6,1,7,18
anderer02,1923,CAT,WCHL,R,2,0,0,0,2
anderjo03,1924,VIC,WCHL,L,4,1,0,1,10
anderjo03,1925,VIC,WCHL,L,1,0,0,0,0
andrell01,1921,TRS,NHL,F,5,2,0,2,3
arbouam01,1915,MOC,NHA,L,4,3,0,3,8
arbouty01,1922,EDE,WCHL,L,2,0,0,0,0
barboal01,1915,PO1,PCHA,C,5,0,0,0,0
bellbi01,1923,MTL,NHL,F,3,0,0,0,0
benedcl01,1914,OT1,NHA,G,3,0,0,0,0
benedcl01,1919,OTS,NHL,G,5,0,0,0,0
benedcl01,1920,OTS,NHL,G,5,0,0,0,0
benedcl01,1922,OTS,NHL,G,6,0,0,0,2
benedcl01,1925,MTM,NHL,G,4,0,0,0,0
bensobo01,1923,CAT,WCHL,D,2,0,0,0,0
berlilo01,1915,MOC,NHA,L,2,0,0,0,0
berlilo01,1916,MOC,NHA,L,4,0,0,0,0
berlilo01,1918,MTL,NHL,L,5,1,1,2,0
bostrhe01,1922,EDE,WCHL,D,1,0,0,0,0
bostrhe01,1923,VAM,PCHA,D,2,1,0,1,0
bouchbi01,1923,MTL,NHL,R,4,5,1,6,6
bouchbi01,1924,MTL,NHL,R,4,1,1,2,13
bouchbo01,1923,MTL,NHL,F,3,0,0,0,0
bouchfr01,1922,VAM,PCHA,C,4,2,0,2,0
bouchfr01,1923,VAM,PCHA,C,2,1,1,2,2
bouchge01,1919,OTS,NHL,D,5,2,0,2,2
bouchge01,1920,OTS,NHL,D,5,2,0,2,9
bouchge01,1922,OTS,NHL,D,6,2,1,3,6
brandru01,1922,EDE,WCHL,L,1,0,0,0,0
broadpu01,1914,OT1,NHA,R,3,3,0,3,9
broadpu01,1919,OTS,NHL,R,4,0,0,0,3
broadpu01,1920,OTS,NHL,R,4,2,0,2,0
broadpu01,1922,OTS,NHL,R,6,6,1,7,12
broadpu01,1925,MTM,NHL,R,4,1,0,1,20
brucemo01,1919,OTS,NHL,F,5,0,0,0,0
brucemo01,1920,OTS,NHL,F,5,0,0,0,0
camerbi01,1923,MTL,NHL,R,4,0,0,0,0
camerha01,1913,TBS,NHA,D,2,1,0,1,4
camerha01,1917,TOA,NHL,D,5,3,1,4,0
camerha01,1921,TRS,NHL,D,4,0,2,2,11
campbea01,1922,EDE,WCHL,L,2,0,0,0,0
carpeed01,1916,SEA,PCHA,D,4,0,0,0,3
carsofr01,1925,MTM,NHL,R,4,0,0,0,0
clancki01,1922,OTS,NHL,D,6,1,0,1,4
cleghod01,1918,MTL,NHL,C,5,2,0,2,9
cleghod01,1923,MTL,NHL,R/C,4,0,1,1,0
cleghod01,1924,MTL,NHL,R/C,4,0,0,0,0
cleghsp01,1919,OTS,NHL,D,5,0,1,1,4
cleghsp01,1920,OTS,NHL,D,5,1,2,3,0
cleghsp01,1923,MTL,NHL,D,4,2,1,3,2
cleghsp01,1924,MTL,NHL,D,4,0,0,0,2
cookll01,1914,VML,PCHA,D,3,3,0,3,9
cookll01,1917,VML,PCHA,D,5,2,0,2,12
cookll01,1920,VML,PCHA,D,5,2,0,2,20
cookll01,1921,VML,PCHA,D,5,1,0,1,6
cookll01,1922,VAM,PCHA,D,4,0,1,1,4
cookll01,1923,VAM,PCHA,D,2,0,0,0,4
corbebe01,1915,MOC,NHA,D,5,0,1,1,32
corbebe01,1916,MOC,NHA,D,4,2,1,3,3
corbebe01,1918,MTL,NHL,D,5,0,1,1,3
corbeco01,1913,TBS,NHA,D,2,0,0,0,0
cotchch01,1922,VAM,PCHA,L,2,0,0,0,0
cotchch01,1923,VAM,PCHA,L,1,0,0,0,0
coutubi01,1916,MOC,NHA,D,4,0,0,0,36
coutubi01,1918,MTL,NHL,D,5,0,1,1,0
coutubi01,1923,MTL,NHL,D,4,0,0,0,0
coutubi01,1924,MTL,NHL,D,4,1,0,1,10
crawfru01,1912,QU1,NHA,R,3,3,0,3,19
crawfru01,1923,CAT,WCHL,L,2,0,0,0,0
darraja01,1914,OT1,NHA,C,2,3,0,3,6
darraja01,1919,OTS,NHL,R/L,5,5,2,7,3
darraja01,1920,OTS,NHL,R/L,5,5,0,5,12
davidal01,1913,TBS,NHA,R,2,1,0,1,7
denneco01,1917,TOA,NHL,L/C,5,3,1,4,0
denneco01,1921,TRS,NHL,L/C,5,3,2,5,2
denneco01,1922,VAM,PCHA,C,3,0,0,0,0
dennecy01,1919,OTS,NHL,L,5,0,2,2,3
dennecy01,1920,OTS,NHL,L,5,2,2,4,10
dennecy01,1922,OTS,NHL,L,6,1,1,2,8
desirsy01,1920,VML,PCHA,D,4,0,0,0,6
dinsmch01,1925,MTM,NHL,F,4,0,0,0,2
duforan01,1914,OT1,NHA,C,2,0,1,1,0
duncaar01,1920,VML,PCHA,D,5,2,1,3,3
duncaar01,1921,VML,PCHA,D,5,0,1,1,9
duncaar01,1922,VAM,PCHA,D,4,2,2,4,0
duncaar01,1923,VAM,PCHA,D,2,0,0,0,6
dundeto01,1912,VA1,PCHA,C,3,3,0,3,8
dundeto01,1913,VA1,PCHA,C,3,2,0,2,11
dundeto01,1915,PO1,PCHA,C,5,1,0,1,9
duttore01,1923,CAT,WCHL,D,2,0,0,0,9
dyeba01,1921,TRS,NHL,R,5,9,1,10,3
foystfr01,1913,TBS,NHA,C,3,2,0,2,3
foystfr01,1916,SEA,PCHA,L,4,7,2,9,3
foystfr01,1918,SEA,PCHA,L,5,9,1,10,0
foystfr01,1919,SEA,PCHA,C,5,6,1,7,7
foystfr01,1924,VIC,WCHL,C,4,1,0,1,0
foystfr01,1925,VIC,WCHL,L,4,0,0,0,2
frasego01,1924,VIC,WCHL,D,4,2,1,3,6
frasego01,1925,VIC,WCHL,D,4,0,0,0,14
fredrfr01,1924,VIC,WCHL,C,4,3,3,6,6
fredrfr01,1925,VIC,WCHL,C,4,1,1,2,10
gagnear01,1922,EDE,WCHL,R,2,0,0,0,2
gardihe01,1923,CAT,WCHL,D,2,1,0,1,0
gengebo01,1912,VA1,PCHA,C,3,3,0,3,14
gengebo01,1913,VA1,PCHA,C,3,0,0,0,15
gerared01,1914,OT1,NHA,L,3,1,2,3,14
gerared01,1919,OTS,NHL,D,5,2,1,3,3
gerared01,1920,OTS,NHL,D,5,0,0,0,44
gerared01,1921,TRS,NHL,D,1,0,0,0,0
gerared01,1922,OTS,NHL,D,6,1,0,1,4
grahale01,1914,OT1,NHA,L,3,1,0,1,0
griffsi01,1917,VML,PCHA,D,5,1,0,1,9
haldeha01,1924,VIC,WCHL,R,4,2,1,3,8
haldeha01,1925,VIC,WCHL,D,4,1,0,1,8
halljo01,1912,QU1,NHA,D,3,0,0,0,7
halljo01,1918,MTL,NHL,D,5,0,0,0,6
harrism01,1915,PO1,PCHA,L,5,4,2,6,23
harrism01,1920,VML,PCHA,L,5,2,1,3,6
harrism01,1922,VAM,PCHA,L,4,1,0,1,8
hartgi01,1924,VIC,WCHL,R,4,2,1,3,0
hartgi01,1925,VIC,WCHL,R,4,0,0,0,2
headlfe01,1924,MTL,NHL,D,4,0,0,0,0
helmaha01,1922,OTS,NHL,D,2,0,0,0,0
hitchli01,1922,OTS,NHL,D,5,1,0,1,4
holmeha01,1913,TBS,NHA,G,3,0,0,0,0
holmeha01,1916,SEA,PCHA,G,4,0,0,0,0
holmeha01,1917,TOA,NHL,G,5,0,0,0,0
holmeha01,1918,SEA,PCHA,G,5,0,0,0,0
holmeha01,1919,SEA,PCHA,G,5,0,0,0,0
holmeha01,1924,VIC,WCHL,G,4,0,0,0,0
holmeha01,1925,VIC,WCHL,G,4,0,0,0,0
holwaal01,1925,MTM,NHL,D,2,0,0,0,0
irvinde01,1915,PO1,PCHA,D,5,0,0,0,14
johnsmo01,1915,PO1,PCHA,D,5,1,1,2,9
joliaau01,1923,MTL,NHL,L,4,3,1,4,6
joliaau01,1924,MTL,NHL,L,4,2,0,2,16
