playerID,year,stint,tmID,S,G,GDG
adamske01,2006,1,PHO,1,0,0
afanadm01,2005,1,TBL,1,0,0
afanadm01,2006,1,TBL,2,1,1
afinoma01,2005,1,BUF,5,3,2
afinoma01,2006,1,BUF,6,2,1
afinoma01,2007,1,BUF,3,1,1
afinoma01,2009,1,ATL,3,0,0
alexeni01,2006,2,CHI,1,1,1
alfreda01,2005,1,OTT,8,2,1
alfreda01,2006,1,OTT,2,0,0
alfreda01,2007,1,OTT,7,2,1
alfreda01,2008,1,OTT,9,5,0
alfreda01,2009,1,OTT,7,2,1
alfreda01,2010,1,OTT,3,0,0
alfreda01,2011,1,OTT,5,6,1
allisja01,2005,1,TOR,3,0,0
amontto01,2005,1,CAL,8,3,1
amontto01,2006,1,CAL,2,0,0
anisiar01,2009,1,NYR,2,0,0
anisiar01,2010,1,NYR,5,1,1
anisiar01,2011,1,NYR,0,2,0
antroni01,2006,1,TOR,2,0,0
antroni01,2007,1,TOR,3,1,0
antroni01,2008,1,TOR,1,0,0
antroni01,2008,2,NYR,2,1,0
antroni01,2009,1,ATL,2,0,0
antroni01,2010,1,ATL,4,1,0
antroni01,2011,1,WPG,0,1,0
arkhide01,2006,1,CHI,2,0,0
armstco01,2008,1,ATL,1,0,0
armstco01,2010,1,TOR,2,2,1
armstde01,2006,1,LAK,1,0,0
arnasty01,2005,1,CHI,3,1,0
arnasty01,2007,1,COL,1,1,0
arnotja01,2005,1,DAL,1,0,0
arnotja01,2008,1,NAS,1,1,1
arnotja01,2009,1,NAS,2,1,0
arnotja01,2010,1,NJD,2,1,0
artyuev01,2008,1,TBL,3,1,1
artyuev01,2009,1,AND,1,0,0
ashamar01,2005,1,NYI,1,0,0
ashamar01,2007,1,NJD,1,0,0
atkinca01,2011,1,CBS,1,1,1
aucoiad01,2009,1,PHO,9,6,6
aucoiad01,2011,1,PHO,0,2,0
aucoike01,2011,1,WAS,0,1,0
averyse01,2006,1,LAK,1,0,0
averyse01,2007,1,NYR,1,0,0
axelspj01,2005,1,BOS,1,0,0
axelspj01,2006,1,BOS,2,0,0
axelspj01,2008,1,BOS,5,2,2
backeda01,2008,1,STL,1,0,0
backeda01,2009,1,STL,1,0,0
backeda01,2010,1,STL,1,0,0
backeda01,2011,1,STL,0,1,0
backlmi01,2009,1,CAL,1,0,0
backlmi01,2011,1,CAL,0,1,0
backsni02,2007,1,WAS,2,1,0
backsni02,2008,1,WAS,3,1,0
backsni02,2009,1,WAS,9,4,1
backsni02,2010,1,WAS,9,2,0
backsni02,2011,1,WAS,0,2,0
bailejo01,2008,1,NYI,2,0,0
bailejo01,2009,1,NYI,3,1,0
bailejo01,2011,1,NYI,1,1,1
balasja01,2005,1,CBS,9,6,3
ballake01,2007,1,PHO,2,0,0
barkeca01,2007,1,CHI,1,0,0
barkeca01,2009,1,CHI,1,0,0
barnama01,2005,1,CHI,2,1,0
barnest01,2006,1,DAL,2,1,1
batessh01,2005,1,NYI,3,2,0
batessh01,2006,1,NYI,1,0,0
beaucfr01,2008,1,AND,1,0,0
beechkr01,2006,1,WAS,1,0,0
belaner01,2006,2,ATL,1,0,0
belaner01,2007,1,MIN,1,0,0
belaner01,2009,1,MIN,3,0,0
belaner01,2010,1,PHO,3,1,1
belaner01,2011,1,EDM,0,2,0
belesma01,2009,1,AND,1,0,0
bellbr02,2008,1,OTT,1,0,0
bellma01,2005,1,CHI,2,0,0
bennja01,2009,1,DAL,5,1,1
bennja01,2010,1,DAL,7,2,0
bennja01,2011,1,DAL,4,8,2
berarbr01,2005,1,CBS,1,0,0
bergepa01,2005,1,BOS,9,2,1
bergepa01,2006,1,BOS,11,6,1
bergepa01,2007,1,BOS,1,0,0
bergepa01,2008,1,BOS,7,0,0
bergepa01,2009,1,BOS,13,3,2
bergepa01,2010,1,BOS,3,0,0
bergepa01,2011,1,BOS,5,8,2
bergese01,2007,1,NYI,1,0,0
bergese01,2009,1,NYI,2,0,0
bergese01,2010,1,TBL,2,0,0
bergese01,2011,1,FLO,0,4,0
bergfni01,2009,2,ATL,1,0,0
bergfni01,2010,1,ATL,2,0,0
bergfni01,2010,2,FLO,1,0,0
berglpa01,2008,1,STL,1,0,0
berglpa01,2009,1,STL,1,0,0
berglpa01,2010,1,STL,3,0,0
berglpa01,2011,1,STL,0,4,0
bernist01,2005,1,SJS,1,0,0
bernist01,2007,1,SJS,1,0,0
bernist01,2008,1,VAN,1,0,0
bernist01,2010,1,FLO,1,1,1
bertuto01,2005,1,VAN,5,2,1
bertuto01,2006,1,FLO,1,0,0
bertuto01,2006,2,DET,3,0,0
bertuto01,2007,1,AND,6,1,0
bertuto01,2008,1,CAL,3,2,2
bertuto01,2009,1,DET,8,4,2
bertuto01,2010,1,DET,7,2,1
bertuto01,2011,1,DET,5,10,4
bettsbl01,2005,1,NYR,1,0,0
bettsbl01,2006,1,NYR,1,0,0
biekske01,2006,1,VAN,1,0,0
biekske01,2008,1,VAN,1,0,0
biekske01,2011,1,VAN,0,1,0
blakeja01,2005,1,NYI,5,2,1
blakeja01,2006,1,NYI,6,1,1
blakeja01,2007,1,TOR,2,0,0
blakeja01,2008,1,TOR,8,4,1
blakeja01,2010,1,AND,1,0,0
blakeja01,2011,1,AND,0,1,0
bochebr01,2006,1,CHI,1,0,0
bochebr01,2006,2,BOS,3,0,0
bochebr01,2007,2,AND,1,0,0
bochebr01,2009,1,TBL,1,0,0
boedkmi01,2008,1,PHO,1,0,0
boedkmi01,2010,1,PHO,2,0,0
boedkmi01,2011,1,PHO,4,9,1
bollada01,2008,1,CHI,3,0,0
bollada01,2009,1,CHI,1,0,0
bollada01,2011,1,CHI,1,5,1
bondrpe01,2005,1,ATL,3,0,0
bonkra01,2007,1,NAS,2,2,0
bonkra01,2008,1,NAS,2,0,0
boothda01,2007,1,FLO,1,0,0
boothda01,2008,1,FLO,2,0,0
boothda01,2009,1,FLO,2,1,0
boothda01,2010,1,FLO,5,1,0
boothda01,2011,2,VAN,1,2,0
bouchpi02,2005,1,MIN,1,0,0
bouchpi02,2006,1,MIN,6,1,1
bouchpi02,2007,1,MIN,3,1,0
bouchpi02,2008,1,MIN,1,0,0
bouchpi02,2010,1,MIN,6,4,1
bouchpi02,2011,1,MIN,1,5,0
bouilfr01,2009,1,NAS,1,0,0
bourqre01,2005,1,CHI,5,1,0
bourqre01,2006,1,CHI,1,0,0
bourqre01,2008,1,CAL,1,0,0
bourqre01,2009,1,CAL,1,0,0
bourqre01,2010,1,CAL,12,5,3
bourqre01,2011,1,CAL,0,1,0
bourqre01,2011,2,MTL,2,4,0
bouwmja01,2006,1,FLO,1,0,0
bouwmja01,2007,1,FLO,1,0,0
bouwmja01,2010,1,CAL,1,0,0
boyddu01,2006,1,CAL,1,0,0
boyddu01,2009,2,NAS,1,0,0
boyesbr01,2005,1,BOS,6,2,1
boyesbr01,2006,1,BOS,5,0,0
boyesbr01,2006,2,STL,1,0,0
boyesbr01,2007,1,STL,8,4,2
boyesbr01,2008,1,STL,12,6,1
boyesbr01,2009,1,STL,12,7,3
boyesbr01,2010,1,STL,8,5,1
boyesbr01,2011,1,BUF,5,12,2
boylebr01,2010,1,NYR,2,0,0
boyleda01,2006,1,TBL,1,0,0
boyleda01,2008,1,SJS,7,2,0
boyleda01,2009,1,SJS,9,2,1
boyleda01,2010,1,SJS,3,3,0
boyleda01,2011,1,SJS,0,4,0
bozakty01,2009,1,TOR,1,0,0
bozakty01,2010,1,TOR,4,3,1
bozakty01,2011,1,TOR,1,3,0
bradlma01,2005,1,WAS,1,0,0
bradlma01,2006,1,WAS,1,0,0
bradlma01,2007,1,WAS,1,1,1
bradlma01,2009,1,WAS,2,0,0
brashdo01,2006,1,WAS,1,0,0
brashdo01,2007,1,WAS,1,0,0
brassde01,2008,1,CBS,2,1,0
brassde01,2009,1,CBS,1,0,0
brassde01,2010,1,CBS,1,0,0
