year,lgID,tmID,hW,hL,hT,hOTL,rW,rL,rT,rOTL,SepW,SepL,SepT,SepOL,OctW,OctL,OctT,OctOL,NovW,NovL,NovT,NovOL,DecW,DecL,DecT,DecOL,JanW,JanL,JanT,JanOL,FebW,FebL,FebT,FebOL,MarW,MarL,MarT,MarOL,AprW,AprL,AprT,AprOL
1909,NHA,COB,2,4,0,,2,4,0,,,,,,,,,,,,,,,,,,1,1,0,,2,3,0,,1,4,0,,,,,
1909,NHA,HAI,3,3,0,,1,5,0,,,,,,,,,,,,,,,,,,1,3,0,,2,5,0,,1,0,0,,,,,
1909,NHA,LES,2,4,0,,0,6,0,,,,,,,,,,,,,,,,,,0,3,0,,1,5,0,,1,2,0,,,,,
1909,NHA,MOS,3,2,1,,0,6,0,,,,,,,,,,,,,,,,,,1,2,1,,1,5,0,,1,1,0,,,,,
1909,NHA,MOW,6,0,0,,5,1,0,,,,,,,,,,,,,,,,,,2,1,0,,6,0,0,,3,0,0,,,,,
1909,NHA,OT1,5,1,0,,4,2,0,,,,,,,,,,,,,,,,,,4,0,0,,5,1,0,,0,2,0,,,,,
1909,NHA,REN,5,1,0,,3,2,1,,,,,,,,,,,,,,,,,,2,1,1,,4,2,0,,2,0,0,,,,,
1910,NHA,MOC,5,3,0,,3,5,0,,,,,,,,,,,,,,0,1,0,,4,2,0,,4,2,0,,0,3,0,,,,,
1910,NHA,MOW,4,3,0,,3,6,0,,,,,,,,,,,,,,,,,,3,2,0,,3,6,0,,1,1,0,,,,,
1910,NHA,OT1,7,1,0,,6,2,0,,,,,,,,,,,,,,1,0,0,,6,0,0,,4,1,0,,2,2,0,,,,,
1910,NHA,QU1,2,6,0,,2,6,0,,,,,,,,,,,,,,,,,,1,6,0,,3,6,0,,,,,,,,,
1910,NHA,REN,6,3,0,,2,5,0,,,,,,,,,,,,,,,,,,1,5,0,,4,3,0,,3,0,0,,,,,
1911,NHA,MOC,4,5,0,,4,5,0,,,,,,,,,,,,,,,,,,5,4,0,,2,6,0,,1,0,0,,,,,
1911,NHA,MOW,4,4,0,,5,5,0,,,,,,,,,,,,,,1,0,0,,4,3,0,,3,5,0,,1,1,0,,,,,
1911,NHA,OT1,6,4,0,,3,5,0,,,,,,,,,,,,,,,,,,3,5,0,,6,2,0,,0,2,0,,,,,
1911,NHA,QU1,7,2,0,,3,6,0,,,,,,,,,,,,,,0,1,0,,4,4,0,,5,3,0,,1,0,0,,,,,
1911,PCHA,NWR,4,3,0,,5,3,0,,,,,,,,,,,,,,,,,,4,2,0,,2,3,0,,3,1,0,,,,,
1911,PCHA,VA1,4,4,0,,3,5,0,,,,,,,,,,,,,,,,,,3,4,0,,2,3,0,,2,2,0,,,,,
1911,PCHA,VML,3,5,0,,4,3,0,,,,,,,,,,,,,,,,,,2,3,0,,4,2,0,,1,3,0,,,,,
1912,NHA,MOC,4,6,0,,5,5,0,,,,,,,,,,,,,,2,0,0,,5,3,0,,1,7,0,,1,1,0,,,,,
1912,NHA,MOW,6,4,0,,4,6,0,,,,,,,,,,,,,,1,1,0,,5,3,0,,3,5,0,,1,1,0,,,,,
1912,NHA,OT1,6,4,0,,3,7,0,,,,,,,,,,,,,,0,1,0,,4,5,0,,4,4,0,,1,1,0,,,,,
1912,NHA,QU1,8,2,0,,8,2,0,,,,,,,,,,,,,,2,0,0,,4,4,0,,8,0,0,,2,0,0,,,,,
1912,NHA,TBS,7,3,0,,2,8,0,,,,,,,,,,,,,,0,2,0,,3,5,0,,5,3,0,,1,1,0,,,,,
1912,NHA,TO1,3,7,0,,4,6,0,,,,,,,,,,,,,,0,1,0,,4,5,0,,3,5,0,,0,2,0,,,,,
1912,PCHA,NWR,3,2,0,,1,7,0,,,,,,,,,,,,,,0,2,0,,1,4,0,,3,2,0,,0,1,0,,,,,
1912,PCHA,VA1,7,1,0,,3,4,0,,,,,,,,,,,,,,2,1,0,,4,1,0,,3,2,0,,1,1,0,,,,,
1912,PCHA,VML,5,3,0,,2,4,0,,,,,,,,,,,,,,2,1,0,,2,2,0,,2,4,0,,1,0,0,,,,,
1913,NHA,MOC,9,1,0,,4,6,0,,,,,,,,,,,,,,1,1,0,,6,3,0,,5,3,0,,1,0,0,,,,,
1913,NHA,MOW,4,6,0,,3,7,0,,,,,,,,,,,,,,2,0,0,,0,9,0,,4,4,0,,1,0,0,,,,,
1913,NHA,OT1,7,3,0,,4,6,0,,,,,,,,,,,,,,0,2,0,,8,1,0,,3,5,0,,0,1,0,,,,,
1913,NHA,QU1,8,2,0,,4,6,0,,,,,,,,,,,,,,1,1,0,,4,5,0,,6,2,0,,1,0,0,,,,,
1913,NHA,TBS,8,2,0,,5,5,0,,,,,,,,,,,,,,1,1,0,,6,3,0,,6,2,0,,0,1,0,,,,,
1913,NHA,TOO,4,6,0,,0,10,0,,,,,,,,,,,,,,1,1,0,,3,6,0,,0,8,0,,0,1,0,,,,,
1913,PCHA,NWR,3,3,0,,4,6,0,,,,,,,,,,,,,,2,3,0,,2,4,0,,3,2,0,,,,,,,,,
1913,PCHA,VA1,6,3,0,,4,3,0,,,,,,,,,,,,,,2,2,0,,4,3,0,,4,1,0,,,,,,,,,
1913,PCHA,VML,3,6,0,,4,3,0,,,,,,,,,,,,,,3,2,0,,3,2,0,,1,5,0,,,,,,,,,
1914,NHA,MOC,4,5,0,,2,9,0,,,,,,,,,,,,,,0,2,0,,2,7,0,,4,4,0,,0,1,0,,,,,
1914,NHA,MOW,9,2,0,,5,4,0,,,,,,,,,,,,,,2,0,0,,5,4,0,,6,2,0,,1,0,0,,,,,
