year,lgID,tmID,oppID,W,L,T,OTL
1909,NHA,COB,HAI,1,1,0,
1909,NHA,COB,LES,2,0,0,
1909,NHA,COB,MOS,1,1,0,
1909,NHA,COB,MOW,0,2,0,
1909,NHA,COB,OT1,0,2,0,
1909,NHA,COB,REN,0,2,0,
1909,NHA,HAI,COB,1,1,0,
1909,NHA,HAI,LES,1,1,0,
1909,NHA,HAI,MOS,1,1,0,
1909,NHA,HAI,MOW,1,1,0,
1909,NHA,HAI,OT1,0,2,0,
1909,NHA,HAI,REN,0,2,0,
1909,NHA,LES,COB,0,2,0,
1909,NHA,LES,HAI,1,1,0,
1909,NHA,LES,MOS,1,1,0,
1909,NHA,LES,MOW,0,2,0,
1909,NHA,LES,OT1,0,2,0,
1909,NHA,LES,REN,0,2,0,
1909,NHA,MOS,COB,1,1,0,
1909,NHA,MOS,HAI,1,1,0,
1909,NHA,MOS,LES,1,1,0,
1909,NHA,MOS,MOW,0,2,0,
1909,NHA,MOS,OT1,0,2,0,
1909,NHA,MOS,REN,0,1,1,
1909,NHA,MOW,COB,2,0,0,
1909,NHA,MOW,HAI,1,1,0,
1909,NHA,MOW,LES,2,0,0,
1909,NHA,MOW,MOS,2,0,0,
1909,NHA,MOW,OT1,2,0,0,
1909,NHA,MOW,REN,2,0,0,
1909,NHA,OT1,COB,2,0,0,
1909,NHA,OT1,HAI,2,0,0,
1909,NHA,OT1,LES,2,0,0,
1909,NHA,OT1,MOS,2,0,0,
1909,NHA,OT1,MOW,0,2,0,
1909,NHA,OT1,REN,1,1,0,
1909,NHA,REN,COB,2,0,0,
1909,NHA,REN,HAI,2,0,0,
1909,NHA,REN,LES,2,0,0,
1909,NHA,REN,MOS,1,0,1,
1909,NHA,REN,MOW,0,2,0,
1909,NHA,REN,OT1,1,1,0,
1910,NHA,MOC,MOW,2,2,0,
1910,NHA,MOC,OT1,0,4,0,
1910,NHA,MOC,QU1,3,1,0,
1910,NHA,MOC,REN,3,1,0,
1910,NHA,MOW,MOC,2,2,0,
1910,NHA,MOW,OT1,1,3,0,
1910,NHA,MOW,QU1,3,1,0,
1910,NHA,MOW,REN,1,3,0,
1910,NHA,OT1,MOC,4,0,0,
1910,NHA,OT1,MOW,3,1,0,
1910,NHA,OT1,QU1,4,0,0,
1910,NHA,OT1,REN,2,2,0,
1910,NHA,QU1,MOC,1,3,0,
1910,NHA,QU1,MOW,1,3,0,
1910,NHA,QU1,OT1,0,4,0,
1910,NHA,QU1,REN,2,2,0,
1910,NHA,REN,MOC,1,3,0,
1910,NHA,REN,MOW,3,1,0,
1910,NHA,REN,OT1,2,2,0,
1910,NHA,REN,QU1,2,2,0,
1911,NHA,MOC,MOW,3,3,0,
1911,NHA,MOC,OT1,2,4,0,
1911,NHA,MOC,QU1,3,3,0,
1911,NHA,MOW,MOC,3,3,0,
1911,NHA,MOW,OT1,3,3,0,
1911,NHA,MOW,QU1,3,3,0,
1911,NHA,OT1,MOC,4,2,0,
1911,NHA,OT1,MOW,3,3,0,
1911,NHA,OT1,QU1,2,4,0,
1911,NHA,QU1,MOC,3,3,0,
1911,NHA,QU1,MOW,3,3,0,
1911,NHA,QU1,OT1,4,2,0,
1911,PCHA,NWR,VA1,7,1,0,
1911,PCHA,NWR,VML,2,5,0,
1911,PCHA,VA1,NWR,1,7,0,
1911,PCHA,VA1,VML,6,2,0,
1911,PCHA,VML,NWR,5,2,0,
1911,PCHA,VML,VA1,2,6,0,
1912,NHA,MOC,MOW,2,2,0,
1912,NHA,MOC,OT1,1,3,0,
1912,NHA,MOC,QU1,1,3,0,
1912,NHA,MOC,TBS,2,2,0,
1912,NHA,MOC,TO1,3,1,0,
1912,NHA,MOW,MOC,2,2,0,
1912,NHA,MOW,OT1,2,2,0,
1912,NHA,MOW,QU1,1,3,0,
1912,NHA,MOW,TBS,2,2,0,
1912,NHA,MOW,TO1,3,1,0,
1912,NHA,OT1,MOC,3,1,0,
1912,NHA,OT1,MOW,2,2,0,
1912,NHA,OT1,QU1,0,4,0,
1912,NHA,OT1,TBS,3,1,0,
1912,NHA,OT1,TO1,1,3,0,
1912,NHA,QU1,MOC,3,1,0,
1912,NHA,QU1,MOW,3,1,0,
1912,NHA,QU1,OT1,4,0,0,
1912,NHA,QU1,TBS,3,1,0,
1912,NHA,QU1,TO1,3,1,0,
1912,NHA,TBS,MOC,2,2,0,
1912,NHA,TBS,MOW,2,2,0,
1912,NHA,TBS,OT1,1,3,0,
1912,NHA,TBS,QU1,1,3,0,
1912,NHA,TBS,TO1,3,1,0,
1912,NHA,TO1,MOC,1,3,0,
1912,NHA,TO1,MOW,1,3,0,
1912,NHA,TO1,OT1,3,1,0,
1912,NHA,TO1,QU1,1,3,0,
1912,NHA,TO1,TBS,1,3,0,
1912,PCHA,NWR,VA1,2,5,0,
1912,PCHA,NWR,VML,2,4,0,
1912,PCHA,VA1,NWR,5,2,0,
1912,PCHA,VA1,VML,5,3,0,
1912,PCHA,VML,NWR,4,2,0,
1912,PCHA,VML,VA1,3,5,0,
1913,NHA,MOC,MOW,4,0,0,
1913,NHA,MOC,OT1,1,3,0,
1913,NHA,MOC,QU1,3,1,0,
1913,NHA,MOC,TBS,2,2,0,
1913,NHA,MOC,TOO,3,1,0,
1913,NHA,MOW,MOC,0,4,0,
1913,NHA,MOW,OT1,2,2,0,
1913,NHA,MOW,QU1,0,4,0,
1913,NHA,MOW,TBS,2,2,0,
1913,NHA,MOW,TOO,3,1,0,
1913,NHA,OT1,MOC,3,1,0,
1913,NHA,OT1,MOW,2,2,0,
1913,NHA,OT1,QU1,1,3,0,
1913,NHA,OT1,TBS,2,2,0,
1913,NHA,OT1,TOO,3,1,0,
1913,NHA,QU1,MOC,1,3,0,
1913,NHA,QU1,MOW,4,0,0,
1913,NHA,QU1,OT1,3,1,0,
1913,NHA,QU1,TBS,1,3,0,
1913,NHA,QU1,TOO,3,1,0,
1913,NHA,TBS,MOC,2,2,0,
1913,NHA,TBS,MOW,2,2,0,
1913,NHA,TBS,OT1,2,2,0,
1913,NHA,TBS,QU1,3,1,0,
1913,NHA,TBS,TOO,4,0,0,
1913,NHA,TOO,MOC,1,3,0,
1913,NHA,TOO,MOW,1,3,0,
1913,NHA,TOO,OT1,1,3,0,
1913,NHA,TOO,QU1,1,3,0,
1913,NHA,TOO,TBS,0,4,0,
1913,PCHA,NWR,VA1,3,5,0,
1913,PCHA,NWR,VML,4,4,0,
1913,PCHA,VA1,NWR,5,3,0,
1913,PCHA,VA1,VML,5,3,0,
1913,PCHA,VML,NWR,4,4,0,
1913,PCHA,VML,VA1,3,5,0,
1914,NHA,MOC,MOW,1,3,0,
1914,NHA,MOC,OT1,1,3,0,
1914,NHA,MOC,QU1,1,3,0,
1914,NHA,MOC,TBS,2,2,0,
1914,NHA,MOC,TOO,1,3,0,
1914,NHA,MOW,MOC,3,1,0,
1914,NHA,MOW,OT1,3,1,0,
1914,NHA,MOW,QU1,1,3,0,
1914,NHA,MOW,TBS,3,1,0,
1914,NHA,MOW,TOO,4,0,0,
1914,NHA,OT1,MOC,3,1,0,
1914,NHA,OT1,MOW,1,3,0,
1914,NHA,OT1,QU1,4,0,0,
1914,NHA,OT1,TBS,3,1,0,
1914,NHA,OT1,TOO,3,1,0,
1914,NHA,QU1,MOC,3,1,0,
1914,NHA,QU1,MOW,3,1,0,
1914,NHA,QU1,OT1,0,4,0,
1914,NHA,QU1,TBS,3,1,0,
1914,NHA,QU1,TOO,2,2,0,
1914,NHA,TBS,MOC,2,2,0,
1914,NHA,TBS,MOW,1,3,0,
1914,NHA,TBS,OT1,1,3,0,
1914,NHA,TBS,QU1,1,3,0,
1914,NHA,TBS,TOO,3,1,0,
1914,NHA,TOO,MOC,3,1,0,
1914,NHA,TOO,MOW,0,4,0,
1914,NHA,TOO,OT1,1,3,0,
1914,NHA,TOO,QU1,2,2,0,
1914,NHA,TOO,TBS,1,3,0,
1914,PCHA,PO1,VA1,6,3,0,
1914,PCHA,PO1,VML,3,6,0,
1914,PCHA,VA1,PO1,3,6,0,
1914,PCHA,VA1,VML,1,7,0,
1914,PCHA,VML,PO1,6,3,0,
1914,PCHA,VML,VA1,7,1,0,
1915,NHA,MOC,MOW,2,4,0,
1915,NHA,MOC,OT1,5,1,0,
1915,NHA,MOC,QU1,4,1,1,
1915,NHA,MOC,TBS,5,1,0,
1915,NHA,MOW,MOC,4,2,0,
1915,NHA,MOW,OT1,2,4,0,
1915,NHA,MOW,QU1,1,5,0,
1915,NHA,MOW,TBS,3,3,0,
1915,NHA,OT1,MOC,1,5,0,
1915,NHA,OT1,MOW,4,2,0,
1915,NHA,OT1,QU1,5,1,0,
