year,lgID,tmID,G,W,L,T,GF,GA,PIM,BenchMinor,PPG,PPC,SHA,PKG,PKC,SHF
1913,NHA,MOC,2,1,1,0,2,6,,,,,,,,
1913,NHA,TBS,2,1,1,0,6,2,,,,,,,,
1914,NHA,MOW,2,1,1,0,1,4,,,,,,,,
1914,NHA,OT1,2,1,1,0,4,1,,,,,,,,
1916,NHA,MOC,2,1,1,0,7,6,,,,,,,,
1916,NHA,OT1,2,1,1,0,6,7,,,,,,,,
1917,NHL,MTL,2,1,1,0,7,10,59,,,,,,,
1917,NHL,TOA,2,1,1,0,10,7,68,,,,,,,
1917,PCHA,SEA,2,0,1,1,2,3,,,,,,,,
1917,PCHA,VML,2,1,0,1,3,2,,,,,,,,
1918,NHL,MTL,5,4,1,0,26,18,87,,,,,,,
1918,NHL,OTS,5,1,4,0,18,26,69,,,,,,,
1918,PCHA,SEA,2,1,1,0,7,5,,,,,,,,
1918,PCHA,VML,2,1,1,0,5,7,,,,,,,,
1919,PCHA,SEA,2,1,1,0,7,3,,,,,,,,
1919,PCHA,VML,2,1,1,0,3,7,,,,,,,,
1920,NHL,OTS,2,2,0,0,7,0,31,,,,,,,
1920,NHL,TRS,2,0,2,0,0,7,24,,,,,,,
1920,PCHA,SEA,2,0,2,0,2,13,,,,,,,,
1920,PCHA,VML,2,2,0,0,13,2,,,,,,,,
1921,NHL,OTS,2,0,1,1,4,5,30,,,,,,,
1921,NHL,TRS,2,1,0,1,5,4,28,,,,,,,
1921,PCHA,SEA,2,0,2,0,0,2,,,,,,,,
1921,PCHA,VML,4,3,1,0,7,2,,,,,,,,
1921,WCHL,CAT,2,0,1,1,1,2,,,,,,,,
1921,WCHL,EDE,2,0,1,1,2,3,,,,,,,,
1921,WCHL,REG,6,3,1,2,7,8,,,,,,,,
1922,NHL,MTL,2,1,1,0,2,3,44,,,,,,,
1922,NHL,OTS,2,1,1,0,3,2,8,,,,,,,
1922,PCHA,VC1,2,1,1,0,3,5,,,,,,,,
1922,PCHA,VAM,2,1,1,0,5,3,,,,,,,,
1922,WCHL,EDE,2,1,0,1,4,3,,,,,,,,
1922,WCHL,REG,2,0,1,1,3,4,,,,,,,,
1923,NHL,MTL,2,2,0,0,5,2,15,,,,,,,
1923,NHL,OTS,2,0,2,0,2,5,28,,,,,,,
1923,PCHA,SEA,2,0,1,1,3,4,,,,,,,,
1923,PCHA,VAM,5,2,2,1,11,13,,,,,,,,
1923,WCHL,CAT,5,3,1,1,14,9,,,,,,,,
1923,WCHL,REG,2,0,1,1,2,4,,,,,,,,
1924,NHL,MTL,2,2,0,0,5,2,17,,,,,,,
1924,NHL,TRS,2,0,2,0,2,5,21,,,,,,,
1924,WCHL,CAT,2,0,1,1,1,3,,,,,,,,
1924,WCHL,SAS,2,0,1,1,4,6,,,,,,,,
1924,WCHL,VIC,4,2,0,2,9,5,,,,,,,,
1925,NHL,MTM,4,2,0,2,8,5,40,,,,,,,
1925,NHL,OTS,2,0,1,1,1,2,42,,,,,,,
1925,NHL,PIP,2,0,1,1,4,6,10,,,,,,,
1925,WCHL,EDE,2,0,1,1,3,5,,,,,,,,
1925,WCHL,SAS,2,0,1,1,3,4,,,,,,,,
1925,WCHL,VIC,4,2,0,2,9,6,,,,,,,,
1926,NHL,BOS,8,2,2,4,16,13,125,,,,,,,
1926,NHL,CHI,2,0,1,1,5,10,30,,,,,,,
1926,NHL,MTL,4,1,1,2,3,6,30,,,,,,,
1926,NHL,MTM,2,0,1,1,1,2,18,,,,,,,
1926,NHL,NYR,2,0,1,1,1,3,36,,,,,,,
1926,NHL,OTS,6,3,0,3,12,4,85,,,,,,,
1927,NHL,BOS,2,0,1,1,2,5,32,,,,,,,
1927,NHL,MTL,2,0,1,1,2,3,35,,,,,,,
1927,NHL,MTM,9,5,3,1,12,8,164,,,,,,,
1927,NHL,NYR,9,5,3,1,16,12,152,,,,,,,
1927,NHL,OTS,2,0,2,0,1,3,24,,,,,,,
1927,NHL,PIP,2,1,1,0,4,6,12,,,,,,,
1928,NHL,BOS,5,5,0,0,9,3,76,,,,,,,
1928,NHL,DTC,2,0,2,0,2,7,24,,,,,,,
1928,NHL,MTL,3,0,3,0,2,5,48,,,,,,,
1928,NHL,NYA,2,0,1,1,0,1,18,,,,,,,
1928,NHL,NYR,6,3,2,1,5,5,64,,,,,,,
1928,NHL,TOR,4,2,2,0,8,5,42,,,,,,,
