year,lgID,tmID,G,W,L,T,GF,GA,PIM
1912,NHA,QU1,3,1,2,0,12,16,
1912,PCHA,VA1,3,2,1,0,16,12,
1913,NHA,TBS,3,3,0,0,13,8,
1913,PCHA,VA1,3,0,3,0,8,13,
1914,NHA,OT1,3,0,3,0,8,26,
1914,PCHA,VML,3,3,0,0,26,8,
1915,NHA,MOC,5,3,2,0,15,13,
1915,PCHA,PO1,5,2,3,0,13,15,
1916,NHA,MOC,4,1,3,0,11,23,
1916,PCHA,SEA,4,3,1,0,23,11,
1917,NHL,TOA,5,3,2,0,18,21,
1917,PCHA,VML,5,2,3,0,21,18,
1918,NHL,MTL,5,2,2,1,10,19,24
1918,PCHA,SEA,5,2,2,1,24,19,
1919,NHL,OTS,5,3,2,0,15,11,20
1919,PCHA,SEA,5,2,3,0,11,15,
1920,NHL,OTS,5,3,2,0,12,12,75
1920,PCHA,VML,5,2,3,0,12,12,
1921,NHL,TRS,5,3,2,0,16,9,53
1921,PCHA,VML,5,2,3,0,9,16,
1922,NHL,OTS,6,5,1,0,13,8,50
1922,PCHA,VAM,4,1,3,0,7,10,
1922,WCHL,EDE,2,0,2,0,1,3,
1923,NHL,MTL,4,4,0,0,14,4,18
1923,PCHA,VAM,2,0,2,0,3,5,
1923,WCHL,CAT,2,0,2,0,1,9,
1924,NHL,MTL,4,1,3,0,8,16,49
1924,WCHL,VIC,4,3,1,0,16,8,
1925,NHL,MTM,4,3,1,0,10,3,50
1925,WCHL,VIC,4,1,3,0,3,10,
