S. No.,Monthly Rent
1,44000
2,49800
3,45400
4,40700
5,43900
6,46400
7,31000
8,45000
9,37300
10,42900
11,36600
12,43100
13,40900
14,44800
15,34200
16,38700
17,38900
18,32200
19,44600
20,43800
21,42600
22,48600
23,35100
24,38300
25,51200
26,45500
27,52600
28,58600
29,46900
30,43100
31,50600
32,42500
33,58200
34,48100
35,55000
36,59800
37,44600
38,41400
39,46900
40,51700
41,48800
42,41300
43,41700
44,54300
45,47800
46,40500
47,58900
48,41100
49,51100
50,43400
51,43900
52,44200
53,42600
54,40000
55,30900
56,46500
57,32700
58,33600
59,49400
60,31900
61,45400
62,48700
63,44900
64,45300
65,49200
66,37100
67,30100
68,36000
69,49400
70,43900
71,42300
72,49700
73,34400
74,59600
75,57800
76,58600
77,45400
78,51900
79,55400
80,49500
81,58900
82,41600
83,55000
84,50400
85,49600
86,59800
87,46900
88,53900
89,44800
90,53100
91,41400
92,51600
93,58600
94,52600
95,49000
96,49900
97,51300
98,58900
99,32900
100,47300
101,40100
102,47700
103,38200
104,31000
105,47500
106,39100
107,45800
108,41000
109,49700
110,33100
111,34400
112,45000
113,44600
114,37800
115,47100
116,34100
117,46800
118,49000
119,41000
120,38200
121,30900
122,43700
123,41900
124,46900
125,44600
126,55800
127,47000
128,56900
129,55200
130,43700
131,57700
132,41600
133,43900
134,44400
135,41900
136,45500
137,58000
138,51800
139,59100
140,53200
141,44600
142,42300
143,52000
144,58200
145,57200
146,42100
147,45500
148,55100
149,33200
150,42700
151,47300
152,39200
153,47800
154,41500
155,40700
156,33200
157,42200
158,32500
159,43800
160,33000
161,33400
162,34200
163,35700
164,47100
165,48100
166,30500
167,43000
168,37900
169,41700
170,48000
171,48300
172,48900
173,42000
174,40400
175,57700
176,44300
177,46700
178,53900
179,40100
180,40500
181,45500
182,44400
183,42300
184,59800
185,44600
186,58300
187,42600
188,57200
189,58500
190,41800
191,48100
192,50700
193,48600
194,40800
195,44700
196,49800
197,51900
198,55700
199,45800
200,59500
