Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,,
1,11.50,20.00%,0.0070,,
2,0.24,5.10%,0.0033,,
3,0.04,24.86%,0.0022,,
4,13.81,2.29%,0.0066,,
5,19.84,3.47%,0.0020,,
6,20.61,20.84%,0.0002,,
7,24.90,34.91%,0.0089,,
8,18.76,36.44%,0.0059,,
9,10.23,39.59%,0.0026,,
10,19.55,25.11%,0.0008,,
11,1.14,33.29%,0.0000,,
12,6.40,37.34%,0.0034,,
13,21.45,37.22%,0.0072,,
14,8.17,12.91%,0.0050,,
15,15.73,14.68%,0.0056,,
16,8.73,37.14%,0.0059,,
17,24.02,39.85%,0.0029,,
18,11.92,26.54%,0.0064,,
19,15.78,16.66%,0.0041,,
20,0.04,10.34%,0.0043,,
21,24.73,15.51%,0.0046,,
22,7.49,16.67%,0.0004,,
23,20.15,9.45%,0.0041,,
24,2.92,26.40%,0.0041,,
25,0.30,32.34%,0.0039,,
26,1.95,12.78%,0.0016,,
27,10.57,28.81%,0.0063,,
28,19.41,30.77%,0.0099,,
29,16.09,22.67%,0.0022,,
30,5.65,32.08%,0.0067,,
31,1.13,8.87%,0.0068,,
32,17.07,27.81%,0.0089,,
33,2.93,3.48%,0.0041,,
34,21.87,30.66%,0.0045,,
35,18.92,31.15%,0.0007,,
36,22.80,23.28%,0.0048,,
37,10.80,19.95%,0.0042,,
38,24.74,13.13%,0.0037,,
39,6.76,15.65%,0.0074,,
40,6.51,16.35%,0.0004,,
41,24.33,33.94%,0.0036,,
42,21.01,19.86%,0.0078,,
43,13.57,17.00%,0.0079,,
44,8.97,37.63%,0.0023,,
45,3.15,16.53%,0.0030,,
46,13.56,22.41%,0.0053,,
47,10.71,22.36%,0.0094,,
48,22.29,35.08%,0.0053,,
49,4.64,32.95%,0.0034,,
50,17.47,4.95%,0.0011,,
51,2.72,33.41%,0.0049,,
52,16.88,25.82%,0.0068,,
53,14.49,15.06%,0.0026,,
54,24.87,24.81%,0.0092,,
55,0.07,38.55%,0.0053,,
56,10.16,0.63%,0.0096,,
57,21.21,16.14%,0.0082,,
58,18.04,31.02%,0.0095,,
59,2.16,26.35%,0.0046,,
60,2.16,13.67%,0.0065,,
61,8.76,30.03%,0.0093,,
62,14.57,28.67%,0.0050,,
63,14.90,10.44%,0.0076,,
64,4.56,37.78%,0.0075,,
65,2.28,21.66%,0.0004,,
66,13.69,26.56%,0.0061,,
67,20.74,5.91%,0.0061,,
68,7.14,15.40%,0.0032,,
69,22.90,26.81%,0.0071,,
70,20.82,1.78%,0.0050,,
71,14.48,14.52%,0.0015,,
72,6.49,38.49%,0.0082,,
73,9.03,36.63%,0.0088,,
74,4.75,0.27%,0.0100,,
75,4.02,33.34%,0.0080,,
76,23.17,35.19%,0.0048,,
77,17.36,20.99%,0.0021,,
78,6.49,12.11%,0.0075,,
79,12.87,2.07%,0.0047,,
80,1.79,22.74%,0.0091,,
81,16.23,17.00%,0.0074,,
82,15.42,22.36%,0.0097,,
83,22.33,30.80%,0.0079,,
84,16.54,34.78%,0.0007,,
85,1.32,0.60%,0.0033,,
86,1.45,37.05%,0.0066,,
87,4.14,2.31%,0.0019,,
88,13.79,27.93%,0.0017,,
89,19.60,16.33%,0.0036,,
90,3.09,7.97%,0.0076,,
91,24.30,20.84%,0.0077,,
92,6.11,33.57%,0.0043,,
93,3.70,33.84%,0.0072,,
94,6.22,34.44%,0.0095,,
95,13.63,7.72%,0.0074,,
96,12.63,30.63%,0.0051,,
97,3.25,16.20%,0.0029,,
98,21.77,22.74%,0.0021,,
99,20.72,19.54%,0.0091,,
100,15.85,35.67%,0.0025,,
101,10.62,28.65%,0.0006,,
102,23.62,13.88%,0.0035,,
103,15.18,9.39%,0.0025,,
104,3.17,22.62%,0.0097,,
105,18.99,28.53%,0.0067,,
106,3.72,16.81%,0.0087,,
107,23.07,11.95%,0.0059,,
108,19.76,39.22%,0.0050,,
109,22.17,38.07%,0.0034,,
110,22.09,2.08%,0.0065,,
111,2.04,36.63%,0.0027,,
112,9.04,0.29%,0.0005,,
113,18.03,17.65%,0.0074,,
114,19.89,38.91%,0.0025,,
115,14.70,7.55%,0.0030,,
116,21.60,30.81%,0.0085,,
117,8.79,24.57%,0.0030,,
118,17.12,3.87%,0.0085,,
119,11.24,20.44%,0.0100,,
120,24.29,19.87%,0.0053,,
121,2.53,2.64%,0.0067,,
122,9.78,10.83%,0.0069,,
123,9.03,25.08%,0.0014,,
124,21.77,0.95%,0.0067,,
125,17.23,9.27%,0.0021,,
126,21.67,5.05%,0.0083,,
127,23.71,14.67%,0.0002,,
128,9.94,32.46%,0.0095,,
129,23.44,10.84%,0.0079,,
130,4.53,27.94%,0.0039,,
131,7.70,36.74%,0.0014,,
132,18.70,2.69%,0.0050,,
133,3.70,33.10%,0.0083,,
134,4.61,3.95%,0.0008,,
135,12.01,23.40%,0.0028,,
136,23.35,36.89%,0.0099,,
137,6.95,34.73%,0.0072,,
138,8.99,29.33%,0.0073,,
139,4.43,21.00%,0.0063,,
140,10.27,7.30%,0.0041,,
141,22.71,24.70%,0.0067,,
142,17.95,38.31%,0.0006,,
143,20.48,30.63%,0.0039,,
144,19.79,33.64%,0.0042,,
145,12.04,14.15%,0.0030,,
146,6.02,28.75%,0.0049,,
147,21.42,20.64%,0.0062,,
148,6.41,35.78%,0.0080,,
149,2.91,6.58%,0.0007,,
150,24.69,7.65%,0.0062,,
151,20.65,32.09%,0.0095,,
152,22.59,10.93%,0.0028,,
153,7.85,13.06%,0.0076,,
154,15.23,6.70%,0.0035,,
155,17.09,37.73%,0.0002,,
156,2.28,9.97%,0.0062,,
157,18.73,22.53%,0.0049,,
158,20.65,12.98%,0.0042,,
159,4.31,11.48%,0.0021,,
160,15.91,24.35%,0.0023,,
161,17.97,19.94%,0.0061,,
162,15.48,6.93%,0.0016,,
163,18.75,4.93%,0.0017,,
164,6.65,27.29%,0.0047,,
165,15.94,13.04%,0.0002,,
166,6.64,30.41%,0.0000,,
167,17.29,35.48%,0.0092,,
168,21.00,38.65%,0.0076,,
169,5.07,26.56%,0.0091,,
170,2.62,26.87%,0.0023,,
171,16.14,22.56%,0.0064,,
172,1.96,26.50%,0.0030,,
173,10.48,29.41%,0.0076,,
174,20.01,36.15%,0.0090,,
175,7.40,26.02%,0.0067,,
176,23.68,30.66%,0.0045,,
177,4.80,36.15%,0.0096,,
178,7.34,39.28%,0.0044,,
179,21.63,24.63%,0.0092,,
180,6.29,4.94%,0.0016,,
181,15.18,15.49%,0.0030,,
182,22.72,1.53%,0.0002,,
183,13.28,17.18%,0.0059,,
184,2.47,31.07%,0.0046,,
185,18.02,14.60%,0.0055,,
186,18.30,36.79%,0.0054,,
187,10.47,22.89%,0.0062,,
188,23.76,0.11%,0.0017,,
189,9.02,28.30%,0.0046,,
190,10.52,28.79%,0.0057,,
191,16.75,22.87%,0.0047,,
192,8.05,28.58%,0.0016,,
193,23.17,26.33%,0.0067,,
194,3.37,11.42%,0.0055,,
195,8.79,38.51%,0.0049,,
196,5.81,2.84%,0.0075,,
197,21.12,31.13%,0.0062,,
198,1.61,15.47%,0.0066,,
199,5.69,7.61%,0.0030,,
200,13.74,30.89%,0.0062,,
201,14.14,4.67%,0.0039,,
202,18.39,6.44%,0.0059,,
203,12.38,6.97%,0.0010,,
204,16.33,21.12%,0.0009,,
205,14.06,20.09%,0.0044,,
206,1.50,14.73%,0.0010,,
207,19.49,20.49%,0.0099,,
208,11.41,12.84%,0.0030,,
209,21.18,37.26%,0.0092,,
210,19.71,18.65%,0.0054,,
211,3.62,7.53%,0.0023,,
212,8.08,16.41%,0.0058,,
213,14.72,23.82%,0.0080,,
214,15.17,38.68%,0.0014,,
215,13.10,12.87%,0.0070,,
216,18.51,35.35%,0.0097,,
217,9.59,3.24%,0.0012,,
218,8.53,33.21%,0.0017,,
219,10.46,1.37%,0.0064,,
220,14.35,3.28%,0.0093,,
221,7.34,3.79%,0.0042,,
222,9.67,4.09%,0.0059,,
223,10.57,4.11%,0.0079,,
224,16.45,20.32%,0.0078,,
225,22.45,11.58%,0.0081,,
226,8.69,19.33%,0.0089,,
227,14.71,31.61%,0.0020,,
228,11.30,34.09%,0.0000,,
229,9.45,14.12%,0.0040,,
230,19.75,38.81%,0.0023,,
231,9.31,34.71%,0.0013,,
232,1.87,37.17%,0.0051,,
233,6.28,13.94%,0.0048,,
234,23.05,27.71%,0.0009,,
235,17.28,17.96%,0.0022,,
236,2.98,35.28%,0.0076,,
237,0.09,33.54%,0.0057,,
238,2.34,27.12%,0.0064,,
239,7.24,25.80%,0.0008,,
240,14.18,28.87%,0.0011,,
241,19.89,27.58%,0.0056,,
242,4.61,30.67%,0.0083,,
243,22.55,19.51%,0.0039,,
244,14.70,34.72%,0.0019,,
245,9.60,5.04%,0.0037,,
246,1.51,27.56%,0.0061,,
247,22.18,17.54%,0.0006,,
248,19.02,34.45%,0.0019,,
249,0.30,35.13%,0.0018,,
250,2.17,2.64%,0.0059,,
251,20.63,36.87%,0.0040,,
252,12.63,24.75%,0.0007,,
253,23.51,31.82%,0.0082,,
254,13.39,6.91%,0.0004,,
255,12.51,38.56%,0.0015,,
256,21.75,2.25%,0.0093,,
257,2.08,36.27%,0.0062,,
258,0.82,16.07%,0.0031,,
259,9.80,4.90%,0.0077,,
260,14.30,37.01%,0.0013,,
261,23.06,24.36%,0.0047,,
262,3.57,13.95%,0.0036,,
263,0.52,12.56%,0.0095,,
264,5.25,25.19%,0.0038,,
265,5.03,37.77%,0.0024,,
266,14.67,38.05%,0.0027,,
267,20.59,28.61%,0.0050,,
268,22.42,20.89%,0.0001,,
269,18.79,26.90%,0.0010,,
270,22.11,30.98%,0.0043,,
271,2.55,16.07%,0.0081,,
272,5.04,10.19%,0.0026,,
273,2.31,10.09%,0.0093,,
274,15.37,31.97%,0.0004,,
275,21.05,29.96%,0.0013,,
276,23.00,31.16%,0.0051,,
277,14.81,30.02%,0.0085,,
278,22.92,37.66%,0.0067,,
279,16.32,10.00%,0.0076,,
280,20.65,25.77%,0.0012,,
281,6.99,15.28%,0.0073,,
282,12.09,8.21%,0.0089,,
283,18.62,1.06%,0.0012,,
284,9.49,20.89%,0.0077,,
285,10.81,0.90%,0.0068,,
286,3.06,2.92%,0.0046,,
287,7.65,11.79%,0.0073,,
288,18.67,33.79%,0.0020,,
289,9.98,19.38%,0.0058,,
290,11.76,13.70%,0.0054,,
291,13.94,25.68%,0.0039,,
292,9.54,35.38%,0.0051,,
293,1.52,37.79%,0.0019,,
294,13.13,16.92%,0.0088,,
295,19.85,31.76%,0.0089,,
296,9.46,3.70%,0.0031,,
297,14.66,7.87%,0.0061,,
298,6.46,39.48%,0.0033,,
299,14.97,34.05%,0.0092,,
300,3.22,21.69%,0.0091,,
301,20.57,24.25%,0.0064,,
302,17.22,21.78%,0.0094,,
303,8.43,21.13%,0.0054,,
304,10.55,28.77%,0.0010,,
305,21.27,37.56%,0.0052,,
306,13.69,14.89%,0.0059,,
307,12.25,31.68%,0.0096,,
308,3.38,10.36%,0.0063,,
309,1.66,23.75%,0.0045,,
310,7.41,3.09%,0.0084,,
311,6.07,25.04%,0.0024,,
312,8.11,2.37%,0.0002,,
313,20.60,10.27%,0.0087,,
314,13.40,16.68%,0.0096,,
315,18.16,18.82%,0.0060,,
316,10.29,26.62%,0.0013,,
317,2.98,23.74%,0.0025,,
318,13.91,14.85%,0.0059,,
319,6.81,33.82%,0.0003,,
320,5.88,20.22%,0.0020,,
321,14.15,33.38%,0.0007,,
322,24.88,32.24%,0.0059,,
323,12.32,12.58%,0.0084,,
324,3.73,4.23%,0.0066,,
325,5.62,5.11%,0.0069,,
326,18.25,0.93%,0.0056,,
327,6.13,22.96%,0.0028,,
328,13.23,10.68%,0.0076,,
329,19.28,30.00%,0.0068,,
330,13.28,7.09%,0.0063,,
331,3.84,37.28%,0.0048,,
332,21.84,13.71%,0.0092,,
333,17.91,8.13%,0.0082,,
334,3.67,13.90%,0.0085,,
335,19.08,23.12%,0.0002,,
336,20.58,38.02%,0.0065,,
337,0.99,30.33%,0.0092,,
338,9.13,38.84%,0.0033,,
339,24.23,6.66%,0.0099,,
340,10.97,39.52%,0.0085,,
341,20.23,10.89%,0.0096,,
342,8.49,20.49%,0.0046,,
343,21.12,20.01%,0.0036,,
344,3.78,3.90%,0.0011,,
345,16.10,22.54%,0.0052,,
346,3.89,13.68%,0.0047,,
347,9.09,18.02%,0.0011,,
348,3.51,29.99%,0.0076,,
349,15.73,33.88%,0.0010,,
350,1.62,4.79%,0.0048,,
351,12.02,15.49%,0.0027,,
352,18.82,33.52%,0.0012,,
353,8.81,8.92%,0.0083,,
354,16.97,33.43%,0.0085,,
355,8.23,7.45%,0.0017,,
356,4.61,28.55%,0.0049,,
357,5.21,34.67%,0.0077,,
358,21.55,27.47%,0.0059,,
359,8.45,8.21%,0.0035,,
360,10.16,17.22%,0.0059,,
361,20.56,10.63%,0.0085,,
362,12.55,1.86%,0.0006,,
363,14.71,6.77%,0.0020,,
364,0.48,18.77%,0.0065,,
365,15.17,28.94%,0.0024,,
366,2.03,25.03%,0.0024,,
367,2.59,30.20%,0.0042,,
368,24.05,13.69%,0.0068,,
369,14.22,27.96%,0.0062,,
370,19.21,28.45%,0.0035,,
371,18.31,30.91%,0.0059,,
372,17.45,20.59%,0.0010,,
373,9.12,32.01%,0.0091,,
374,1.31,31.71%,0.0024,,
375,5.66,39.31%,0.0081,,
376,15.01,7.95%,0.0069,,
377,10.92,15.00%,0.0062,,
378,3.05,24.13%,0.0070,,
379,0.39,35.70%,0.0077,,
380,23.23,2.87%,0.0069,,
381,13.26,19.48%,0.0053,,
382,12.70,24.02%,0.0041,,
383,22.58,30.24%,0.0037,,
384,19.86,7.27%,0.0045,,
385,8.90,2.27%,0.0029,,
386,24.28,7.86%,0.0093,,
387,13.55,3.86%,0.0037,,
388,8.65,4.12%,0.0049,,
389,3.40,24.88%,0.0019,,
390,22.05,4.03%,0.0059,,
391,20.98,26.35%,0.0049,,
392,21.26,21.94%,0.0007,,
393,2.59,35.57%,0.0005,,
394,21.77,31.70%,0.0014,,
395,17.66,17.73%,0.0068,,
396,5.01,35.97%,0.0027,,
397,14.17,31.43%,0.0042,,
398,4.15,18.68%,0.0071,,
399,11.27,36.62%,0.0076,,
400,6.16,29.76%,0.0021,,
401,7.46,32.65%,0.0076,,
402,8.37,33.23%,0.0084,,
403,21.24,38.76%,0.0023,,
404,10.00,37.05%,0.0007,,
405,21.68,37.08%,0.0072,,
406,4.29,34.71%,0.0077,,
407,20.83,22.25%,0.0078,,
408,12.47,6.52%,0.0081,,
409,0.40,25.32%,0.0017,,
410,15.16,13.04%,0.0095,,
411,15.32,36.40%,0.0035,,
412,20.30,15.49%,0.0087,,
413,22.85,28.12%,0.0091,,
414,2.15,23.14%,0.0097,,
415,22.73,37.87%,0.0083,,
416,22.63,2.74%,0.0015,,
417,23.48,39.50%,0.0079,,
418,2.23,21.37%,0.0055,,
419,1.38,37.92%,0.0096,,
420,16.04,18.19%,0.0072,,
421,17.37,31.79%,0.0063,,
422,4.09,3.06%,0.0002,,
423,9.84,28.29%,0.0071,,
424,0.88,37.64%,0.0049,,
425,24.91,35.30%,0.0075,,
426,15.98,20.84%,0.0073,,
427,16.38,32.55%,0.0079,,
428,15.55,13.85%,0.0039,,
429,12.22,0.72%,0.0003,,
430,0.91,38.70%,0.0022,,
431,12.92,33.15%,0.0037,,
432,14.55,6.09%,0.0007,,
433,8.76,1.79%,0.0015,,
434,16.71,13.29%,0.0036,,
435,13.01,30.73%,0.0093,,
436,18.33,12.63%,0.0079,,
437,9.93,12.86%,0.0008,,
438,22.13,24.80%,0.0018,,
439,5.31,1.90%,0.0010,,
440,23.31,8.43%,0.0058,,
441,0.87,38.23%,0.0060,,
442,7.52,32.11%,0.0075,,
443,12.35,29.90%,0.0056,,
444,17.93,32.76%,0.0064,,
445,14.02,38.14%,0.0050,,
446,11.96,35.81%,0.0044,,
447,2.86,18.07%,0.0088,,
448,12.56,22.77%,0.0007,,
449,16.34,17.66%,0.0063,,
450,3.94,35.51%,0.0088,,
451,16.18,24.11%,0.0066,,
452,9.00,27.26%,0.0094,,
453,10.55,25.64%,0.0045,,
454,12.74,7.88%,0.0029,,
455,13.42,16.30%,0.0099,,
456,7.85,12.29%,0.0062,,
457,20.62,30.72%,0.0071,,
458,8.74,23.78%,0.0093,,
459,22.31,27.44%,0.0086,,
460,18.03,39.31%,0.0018,,
