Sample No.,Sample Mean
1,3.2
2,2.6
3,2.8
4,2
5,3
6,2.8
7,2.8
8,2
9,2.6
10,2.6
11,3
12,2
13,2.2
14,1.6
15,2
16,1.4
17,1.8
18,2.2
19,2.4
20,2.2
21,2.4
22,2.8
23,2.2
24,2.6
25,1.8
26,2.4
27,1.4
28,2.4
29,2.6
30,2.6
31,2
32,3
33,2
34,2.4
35,2.2
36,2.2
37,2
38,3
39,2
40,2.8
41,2.2
42,2.6
43,2
44,2.6
45,3
46,2.4
47,2.2
48,2
49,2.2
50,2.4
51,2.6
52,2
53,2.6
54,2.2
55,2.6
56,2.8
57,2.6
58,2.4
59,2
60,2
61,1.8
62,1.8
63,2
64,3
65,1.6
66,3
67,1.8
68,2.8
69,2
70,1.6
71,2.4
72,2
73,2.6
74,2
75,1.8
76,3
77,2.2
78,1.6
79,3
80,3
81,2.8
82,2.2
83,2.2
84,1.8
85,2.4
86,2.4
87,1.8
88,2.6
89,2
90,2.6
91,2.6
92,3.2
93,2.6
94,2.6
95,2.8
96,2.6
97,1.8
98,2.4
99,2.4
100,2.6
